art_id,keyword
96374,fthen rules;knowledge extraction;obstructive sleep apnea;realtime monitoring system;wearable sensors
96376,irway resistance;computer simulation;humans;magnetic resonance imaging;pediatrics
96377,ardiomyopathy;er stress;intermittent hypoxia;metallothionein;obstructive sleep apnea
96378,ardiomyopathy;intermittent hypoxia;metallothionein;obstructive sleep apnea;oxidative damage
96379,mi;diabetes;hypertension;obesity;sleep apnea;sleepdisordered breathing
96382,lacks;excessive daytime sleepiness;hypertension;medication adherence
96384,pnea;creactive protein;erythrocyte sedimentation rate;fibrinogen;inflammation
96385,lassification;correlation matrices;diagnosing;feature selection;heart rate variability;sleep apnea
96386,reathing monitoring;sleep apnea;ultrawideband radar;vital signs
96387,ction recognition;behaviour;breathing monitoring;obstructive sleep apnea
96388,eglutition;deglutition disorders;fiberoptic endoscopic evaluation of swallowing;obstructive sleep apnea syndrome
96389,omputational fluid dynamics;computed tomography;cone beam computed tomography;healthy subjects;particle deposition;posture;sleep apnea;upper airway morphology
96390,ispectrum analysis;electroencephalogram;macrosleeparchitecture;msa
96396,reactive protein;obstructive sleep apnoea;physical exercise
96401,mpirical mode decomposition;pulse oximetry;sleep apnea
96402,pneahypopnea index;pvdfsensor;unconstrained sleep apnea monitoring
96404,ivariate emd;electroencephalogram;empirical mode decomposition;ensemble emd;sleep apnea
96405,eature selection;recurrence quantification analysis;sleep apnea detection;soft decision fusion
96406,ustralia;chronic disease;community pharmacy;community pharmacy services;disease state management;extended clinical service;obstructive sleep apnea;primary care
96410,luidsolid interaction;nasal surgery;numerical analysis;obstructive sleep apnea hypopnea syndrome
96411,bstructive sleep apnea;polysomnography;sleep;traumatic brain injury
96413,ntermittent hypoxia;liver;sleep apnea
96415,cg;larynx vibration;sleep apnea;snoring sound;thoracic impedance
96417,cg;ecgderived respiration;heart rate;respiratory myogram interference;sleep related breathing disorders
96418,ueller maneuver;obstructive sleep apnea;polysomnography;tongue base thickness;ultrasound
96419,hildren;decreases in the amplitude fluctuations of pulse photoplethysmographic signal;photoplethysmographic;pulse rate variability;sleep apnea;time frequency
96421,bstructive sleep apnea;polysomnography;prader willi syndrome;sleep disorders
96422,inary hierarchical classifier;multiclass;multivariate;overnight pulseoximetry;sahs;sleep apnea;spo
96424,hi;compliance;obstructive sleep apnea;pap
96425,rowth;instabilities;morphogenesis;prestress;residual stress;stability analysis
96428,edside monitoring;cerebral hemodynamics;hemodynamic oscillations;sleep
96429,ecision tree algorithms;feature extraction;logistic regression model;obstructive sleep apnea
96433,rteries;hypertension;intermittent hypoxia;oxidative stress;sleep apnea
96435,ontinuous positive airway pressure;obstructive sleep apnea;transsphenoidal surgery
96436,ehabilitation;sleep apnea syndromes;stroke
96437,eart rate variability;photoplethysmography;respiratory arousal;sleep apnea
96439,hronic kidney disease;diastolic dysfunction;glucose metabolism;left ventricular hypertrophy;obstructive sleep apnea;polycystic ovary syndrome;renal nerve ablation;renal sympathetic denervation;resistant hypertension
96440,coustic features;feature selection;neck fluid volume;neural networks;regression;tracheal sounds
96442,exmedetomidine;emergence agitation;sedation;sevoflurane;uvulopalatopharyngoplasty
96444,allistocardiogram;heart rate;nocturnal awakening;sleep efficiency;sleep fragmentation
96446,rashes;freeway;highdeck bus;injury severity
96448,rterial stiffness;cytokines;diagnostic criteria;lipids;metabolic syndrome;platelets;renal dysfunction;uric acid
96449,ardiorenal syndrome;heart failure;renal denervation;resistant hypertension;sympathetic nervous system
96450,ardiovascular risk;dyslipidemia;statin;type  diabetes mellitus
96451,rrhythmia;atrial fibrillation;ballistocardiography;bioimpedance;blood pressure estimation;chf;chronic heart failure;comorbidity;hypertension;inear photoplethysmography;patient customized;sas;sensor;sleep apnea syndrome;sleepdisorder
96452,irway;colonoscopy;endoscopic retrograde cholangiopancreatography;endoscopy;morbid obesity
96453,ntiobesity;convolvulus pluricaulis;obesity;phytomedicine;shankhpushpi
96454,reathing resistance;breathingrelated sleep disorders;pharyngeal anatomy;snoring;uvula
96455,ardiovascular disease;metabolic syndrome;nonalcoholic fatty liver disease;psoriasis;psoriatic arthritis;vascular risk factors
96456,istology;human;sexual dimorphism;stereology;tongue muscle
96457,ariatric surgery;metabolic surgery;obesity;remission of diabetes;safety;type  diabetes mellitus
96458,vent detection;oxygen saturation;recursive feature elimination;support vector machine
96460,ypertension;microneurography;noradrenaline spillover;sympathetic nervous system;sympathetic overactivity
96461,ysteinyl leukotrienes;high sensitivity creactive protein;neutrophil;sleepdisordered breathing;systemic inflammation
96462,ntiobesity drugs;brown adipose tissue;cardiovascular effects;incretins;slgt;trpv
96463,rimary snoring;pulse oximetry;resistin;sleep disordered breathing
96464,epression;inflammation;pai;sleep disturbance
96465,ehaviour;depressed patient;rapid eye movement sleep without atonia;sertraline
96466,pnea;collapse;fluidstructural interaction;shape change;upper airway
96467,daptive system;apneahypopnea event detection;obstructive sleep apnea;realtime monitoring;respiration signal
96470,ackflow;flow characteristics;numerical simulation;obstructive sleep apnea hypopnea syndrome;shear stress
96471,xcessive daytime sleepiness;histamine subtype receptor;modafinil;obstructive sleep apnea;randomized trial
96472,utoimmunity;comorbidity;rheumatic disease;sleep apnea;systemic inflammation;upper airway
96474,poptosis;hepatocyte growth factor;interleukin;intermittent hypoxia;pancreatic  cell proliferation;regenerating gene;sleep apnea syndrome
96476,cg;obstructive sleep apnea;qt interval;sleep
96478,irway occlusion;cfd;fsi;mas;mri;osa;upper airway
96479,sophageal pressure;mixed sleep apnea;obstructive sleep apnea;photoplethysmogram;sleep disordered breathing
96481,iliary;mrcp;steady state free precession
96482,hild;sleep apnea;sleep bruxism;snoring
96483,irway resistance;cfd;obstructive sleep apnea;pharyngeal wall pressure;velopharynx
96484,ft;hrv;obstructive sleep apnea;severity of apnea;wavelet analysis
96486,daptation;adrenomedullary;dopamine;epinephrine;norepinephrine;pnmt;sympathoneural glucocorticoids
96489,ancer;deglutition;deglutition disorders;dimorphism;head and neck;sleep apnea
96490,lcohol use;binge drinking;national longitudinal study of adolescent health;sleep problems
96491,ntermittent hypoxia;kidney hypoxic damage;metallothionein;nrf
96492,dipokines;melatonin;obstructive sleep apnoea syndrome;omentin positive airway pressure;sleepwake rhythm
96493,iomedical monitoring;complex networks;computational complexity;sleep apnea
96494,mp;monocyte;obstructive sleep apnea;polysomnography
