article_id,keyword,key_id
96197,breath analysis,1895
96198,chronic heart failure,2629
96198,heart rate,6138
96199,real time detection,11740
96200,deglutition,3848
96200,deglutition disorder,3849
96201,respiration,11948
96203,oral appliance therapy,10139
96204,pulse transit time,11549
96205,respiratory,15234
96205,safety pharmacology,12286
96205,ventilatory instability,13752
96205,intermittent hypoxia,7176
96206,acoustics,245
96207,wavelet analysis,13870
96208,sleep,12542
96208,attention,1270
96208,children,2656
96208,hyperactivity,6529
96208,epilepsy,4851
96210,daytime sleepiness,3788
96210,sleep quality,14537
96211,meta analysis,8558
96211,aldosterone,609
96212,anti-inflammatory,929
96213,inflammation,6984
96215,alzheimer disease,680
96215,pathophysiology,15182
96216,perioperative period,10673
96216,obstructive,9918
96216,anesthesia,812
96217,doppler radar,4308
96218,deglutition disorder,3849
96218,deglutition,3848
96218,acoustic pharyngometry,236
96218,pharynx,15132
96218,reliability,11841
96221,electrocardiogram,4609
96223,matching pursuit,8326
96223,photoplethysmography,10836
96223,sleep,12542
96225,uric acid,16342
96226,sleep monitoring,12632
96226,pressure sensor,11281
96226,breathing,1906
96227,coronary artery disease,3448
96227,percutaneous coronary intervention,10628
96227,myocardial infarction,9177
96228,elastic modulus,4584
96228,finite element analysis,5346
96230,endoscope,4732
96230,larynx,7610
96230,deglutition,3848
96230,bronchoscopy,1961
96230,biomedical engineering,1629
96230,biomedical image processing,1632
96230,accuracy,196
96230,pharynx,15132
96230,reflex,11800
96231,tube law,13520
96231,elastic modulus,4584
96231,finite element analysis,5346
96233,doppler radar,4308
96233,vital sign,16237
96233,respiratory disturbance index,15107
96234,modafinil,8831
96234,alzheimer disease,680
96234,melatonin,8507
96234,inflammation,6984
96235,intermittent hypoxia,7176
96235,microglia,8657
96236,apnea classification,1000
96236,apnea screening,1017
96237,adjusted apnea hypopnea index,410
96237,morbidity,8897
96237,mortality,8926
96238,sleepiness,12700
96238,driving performance,4356
96240,non-linearity,9759
96241,animal model,855
96241,atherosclerosis,1142
96241,hypertension,6451
96243,finite element analysis,5346
96243,fluid-structural interaction,5415
96243,biomechanics,1627
96243,upper airway collapse,14078
96244,sleepiness,12700
96244,modafinil,8831
96244,meta analysis,8558
96244,armodafinil,1090
96246,insomnia,7050
96246,sleep,12542
96246,traumatic brain injury,13483
96248,sleep,12542
96248,rehabilitation,11835
96248,cognition,3030
96249,daytime sleepiness,3788
96249,insomnia,7050
96249,qualitative research,11601
96249,mental health,8539
96249,traumatic brain injury,13483
96249,veteran,16080
96251,rehabilitation,11835
96251,hypercapnia,6539
96252,airflow,528
96252,adaboost,328
96252,spectral analysis,16128
96253,sample entropy,14275
96253,oxygen saturation,9871
96253,approximate entropy,1066
96254,oxygen desaturation index,10327
96254,sensitivity,15825
96254,specificity,15772
96255,weight loss,13880
96255,positive airway pressure,11086
96257,remote monitoring,11867
96257,telemetry,16136
96257,compliance,3166
96258,clinical variable,2952
96258,speech,12854
96258,support vector regression,15658
96259,endothelial dysfunction,4754
96260,fatigue,5223
