id,new_keyword,old_keyword
1061, appetite disorder,appetite disorders
1,003 tacrolimus ointment,003 tacrolimus ointment
2,01 loss,01 loss
3,0602 allele,0602 allele
4,1,1
3572,1-(m-Chlorophenyl)-biguanide hydrochloride (cpbg),cpbg
5,1/f slope,1/f slope
113,11-Sep,11-Sep
6,12,12
7,123i-metaiodobenzylguanidine,123i-metaiodobenzylguanidine
8,123imibg cardiac scintigraphy,123imibg cardiac scintigraphy
9,12-iso-ipf2-vi,12-iso-ipf2-vi
10,133xe-99mtc,133xe-99mtc
11,1393bp deletion,1393bp deletion
12,13-epoxy-9-keto-10-trans-octadecenoic acid,13-epoxy-9-keto-10-trans-octadecenoic acid
13,14-3-3,14-3-3
14,15d,15d
15,15d questionnaire,15d questionnaire
16,15q252,15q252
17,16p133,16p133
18,17-aag,17-aag
19,17p112,17p112
20,1-adrenoceptor,1-adrenoceptor
7386,1-vector,i-vector
21,1-year follow-up,1-year follow-up
22,2,2
4279,"2,4-dinitropenylhydrazine",dnph
23,2004 national hospital discharge survey,2004 national hospital discharge survey
24,2009,2009
25,22q112 deletion syndrome,22q112 deletion syndrome
26,23,23
29,24- hour arterial pressure,24- hour arterial pressure
30,24-h ambulatory blood pressure,24-h ambulatory blood pressure
31,24-h blood pressure monitoring,24-h blood pressure monitoring
32,24-h esophageal ph monitoring,24-h esophageal ph monitoring
27,24-h holter electrocardiography,24 h holter ecg
33,24-h ph monitoring,24-h ph monitoring
28,24-h ph-metering,24 h ph-metering
34,24-h spo2 recording,24-h spo2 recording
35,24-hour ambulatory blood pressure measurement,24-hour ambulatory blood pressure measurement
36,24-hour ambulatory esophageal,24-hour ambulatory esophageal
37,24-hour blood pressure,24-hour blood pressure
37,24-hour blood pressure,24-hour bp pattern
38,24-hour blood pressure monitoring,24-hour blood pressure monitoring
39,24-hour non-dipping blood pressure pattern,24-hour non-dipping blood pressure pattern
40,25-hydroxyvitamin d,25-hydroxyvitamin d
41,2621214,2621214
42,262149,262149
43,2631214,2631214
44,263149,263149
45,271214,271214
46,27149,27149
47,2-adrenergic,2-adrenergic
48,2-adrenoceptor agonist,2-adrenoceptor agonist
49,2-agonist,2-agonist
50,2-arachidonyl-glycerol,2-arachidonyl-glycerol
51,2-back task,2-back task
52,2d phase-contrast mri,2d phase-contrast mri
53,2d speckle-tracking echocardiography,2d speckle-tracking echocardiography
54,2-dimensional strain echocardiography,2-dimensional strain echocardiography
55,2-index asymptotics,2-index asymptotics
56,3  oxygen desaturation index,3  oxygen desaturation index
57,3 diphosphoglycerate,3 diphosphoglycerate
58,30-day mortality,30-day mortality
59,30-day readmission rate,30-day readmission rate
60,36-item medical outcomes study short form questionnaire,36-item medical outcomes study short form questionnaire
61,3-adrenergic receptor polymorphism,3-adrenergic receptor polymorphism
62,3d airway,3-d airway
63,3d analysis,3d analysis
64,3d computed tomography,3d ct
64,3d computed tomography,3-dimensional computed tomography
65,3d design,3d design
69,3d echocardiography,3-dimensional echocardiography
70,3d imaging,3-dimensional imaging
66,3d mri reconstruction,3d mri reconstruction
67,3d reconstruction,3d reconstruction
68,3d surface morphometry,3d surface morphometry
71,3-diphosphoglycerate,3-diphosphoglycerate
72,3-galactosyltransferase,3-galactosyltransferase
73,3galt,3galt
74,3-oxidosqualene cyclase,3-oxidosqualene cyclase
75,3p13,3p13
76,3p14,3p14
77,3-years follow up,3-years follow up
78,4 allele,4 allele
7385,4 infusion ,iv infusion
79,48-hour ambulatory blood pressure monitoring,48-hour ambulatory blood pressure monitoring
80,4-dinitropenylhydrazine,4-dinitropenylhydrazine
81,4-variable screening tool,4-variable screening tool
82,4-year follow-up,4-year follow-up
83,5 a,5 a
84,50 kg/m2,50 kg/m2
85,500 patients,500 patients
86,50-fr bougie,50-fr bougie
87,5-benzodiazepine,5-benzodiazepine
95,5-httlpr,5-httlpr
88,5-hydroxytryptamine,5-hydroxytryptamine
88,5-hydroxytryptamine,5-ht
90,5-hydroxytryptamine 1a receptors,5-ht1a receptors
91,5-hydroxytryptamine 2 receptor,5-ht2 receptor
92,5-hydroxytryptamine 2a,5-ht2a
96,5-hydroxytryptamine 2a/2c,5-hydroxytryptamine 2a/2c
93,5-hydroxytryptamine 3,5-ht3
89,5-hydroxytryptamine 3 receptor antagonist,5-ht 3 receptor antagonist
94,5-hydroxytryptamine r2a gene,5-htr2a gene
97,5-hydroxytryptamine receptor,5-hydroxytryptamine receptor
98,5-hydroxytryptophol,5-hydroxytryptophol
99,5-item mental health scale,5-item mental health scale
100,5-reductase blockade,5-reductase blockade
101,5-year long-term,5-year long-term
102,6 min walk test,6 min walk test
103,64 infants,64 infants
104,6-minute walking test,6-minute walking test
105,6-mwt,6-mwt
106,6-sulphatoxymelatonin,6-sulphatoxymelatonin
107,8,8
108,8-hydroxy-2-deoxyguanosine,8-hydroxy-2-deoxyguanosine
109,8-hydroxydeoxyguanosine,8-hydroxydeoxyguanosine
110,8-isoprostane,8-isoprostane
111,8-ohdg,8-ohdg
112,8-theophylline,8-theophylline
114,99mtc hmpao scintigraphy,99mtc hmpao scintigraphy
115,99mtechnetium ventricular scintigraphy,99mtechnetium ventricular scintigraphy
116,9th revision,9th revision
117,a,a
