article_id,keyword,key_id,year,title
101162,development,3962,1980,Respiration during the first six months of life in normal infants IV Gender differences
101162,gender,5684,1980,Respiration during the first six months of life in normal infants IV Gender differences
101167,infant,6950,1980,VENTILATORY STUDIES IN TWO OLDER INFANTS WITH PROLONGED APNEA
101167,periodic breathing,10649,1980,VENTILATORY STUDIES IN TWO OLDER INFANTS WITH PROLONGED APNEA
101162,respiration,11948,1980,Respiration during the first six months of life in normal infants IV Gender differences
101155,tracheostomy,15421,1980,Therapeutic Effects of Tracheostomy in Two Cases of Hypersomnia with Respiratory Disturbance during Sleep
101023,sleep apnea,1020,1981,Abnormalities of pulmonary artery wedge pressures in sleep-induced apnea
101050,pulmonary hypertension,11522,1981,TOTAL AGANGLIONOSIS OF THE COLON HIRSCHSPRUNG DISEASE and CONGENITAL FAILURE OF AUTOMATIC CONTROL OF VENTILATION ONDINE CURSE
101055,vagotomy,14296,1981,Sleep-related apneic and apneustic breathing following pneumotaxic lesion and vagotomy
101055,wakefulness,15083,1981,Sleep-related apneic and apneustic breathing following pneumotaxic lesion and vagotomy
101023,hemodynamics,6200,1981,Abnormalities of pulmonary artery wedge pressures in sleep-induced apnea
101050,hirschprung disease,6319,1981,TOTAL AGANGLIONOSIS OF THE COLON HIRSCHSPRUNG DISEASE and CONGENITAL FAILURE OF AUTOMATIC CONTROL OF VENTILATION ONDINE CURSE
101053,obstructive,9918,1981,RELATIONSHIP BETWEEN APNOEA AND BRADYCARDIA IN PRETERM INFANTS
101050,ondine curse,14867,1981,TOTAL AGANGLIONOSIS OF THE COLON HIRSCHSPRUNG DISEASE and CONGENITAL FAILURE OF AUTOMATIC CONTROL OF VENTILATION ONDINE CURSE
101053,bradycardia,1832,1981,RELATIONSHIP BETWEEN APNOEA AND BRADYCARDIA IN PRETERM INFANTS
101053,central,2401,1981,RELATIONSHIP BETWEEN APNOEA AND BRADYCARDIA IN PRETERM INFANTS
99825,children,2656,1982,Abnormalities of breathing control and airway maintenance in infants and children as a cause of cor pulmonale
99906,carbon dioxide,2079,1982,Sleep apnea considered as a control system instability
99914,behaviour,1513,1982,Carbon disulfideinduced neuropsychiatric changes in grain storage workers
99916,aging,494,1982,Sleep related breathing disorders in older men A search for underlying mechanisms
99880,aging,494,1982,Sleep apnea and nocturnal myoclonus in the elderly
99699,aging,494,1982,Sleep related breathing disorders in older men A search for underlying mechanisms
99696,aging,494,1982,Sleep apnea and nocturnal myoclonus in the elderly
99823,complication,3175,1982,Sleep apnoea syndrome and anaesthesia
99906,control of breathing,3392,1982,Sleep apnea considered as a control system instability
99825,cor pulmonale,3425,1982,Abnormalities of breathing control and airway maintenance in infants and children as a cause of cor pulmonale
99696,nocturnal myoclonus,9657,1982,Sleep apnea and nocturnal myoclonus in the elderly
99880,nocturnal myoclonus,9657,1982,Sleep apnea and nocturnal myoclonus in the elderly
99837,neonate,9428,1982,Influence of food intake on bioavailability of theophylline in premature infants
98065,neonate,9428,1982,Influence of food intake on bioavailability of theophylline in premature infants
99883,hypercapnia,6539,1982,Effects of respiratory gases on the frequency and duration of obstructive apneic episodes in a patient with the sleep apnea-hypersomnolence syndrome
99906,hypercapnia,6539,1982,Sleep apnea considered as a control system instability
99883,hyperoxia,6574,1982,Effects of respiratory gases on the frequency and duration of obstructive apneic episodes in a patient with the sleep apnea-hypersomnolence syndrome
99872,hypoxia,6716,1982,Obstructive apnea Sympathetic activiy respiration and sleep a case report
99931,hypoxia,6716,1982,Physiological and clinical aspects of respiration control in infants with relation to the sudden infant death syndrome
99906,hypoxia,6716,1982,Sleep apnea considered as a control system instability
99823,ventilation,15920,1982,Sleep apnoea syndrome and anaesthesia
99883,ventilatory control,15497,1982,Effects of respiratory gases on the frequency and duration of obstructive apneic episodes in a patient with the sleep apnea-hypersomnolence syndrome
99836,qt interval,11593,1982,Statistical evaluation of respiratory control in infants to assess possible risk for the sudden infant death syndrome SIDS
98065,premature infant,11239,1982,Influence of food intake on bioavailability of theophylline in premature infants
99837,premature infant,11239,1982,Influence of food intake on bioavailability of theophylline in premature infants
99906,periodic breathing,10649,1982,Sleep apnea considered as a control system instability
99836,respiration,11948,1982,Statistical evaluation of respiratory control in infants to assess possible risk for the sudden infant death syndrome SIDS
99696,sleep,12542,1982,Sleep apnea and nocturnal myoclonus in the elderly
99880,sleep,12542,1982,Sleep apnea and nocturnal myoclonus in the elderly
99906,sleep,12542,1982,Sleep apnea considered as a control system instability
99816,sleep,12542,1982,Children and nocturnal snoring Evaluation of the effects of sleep related respiratory resistive load and daytime functioning
99816,snoring,16381,1982,Children and nocturnal snoring Evaluation of the effects of sleep related respiratory resistive load and daytime functioning
99699,sleep fragmentation,16249,1982,Sleep related breathing disorders in older men A search for underlying mechanisms
99916,sleep fragmentation,16249,1982,Sleep related breathing disorders in older men A search for underlying mechanisms
99867,tracheostomy,15421,1982,Palatopharyngoplasty for the obstructive sleep apnea syndrome Technique and preliminary report of results in ten patients
99875,tongue,15620,1982,Sleep apnea syndrome caused by acromegalia and the treatment with a reduction plasty of the tongue Case report
99816,tonsillectomy,13395,1982,Children and nocturnal snoring Evaluation of the effects of sleep related respiratory resistive load and daytime functioning
99872,sympathetic nervous system,12784,1982,Obstructive apnea Sympathetic activiy respiration and sleep a case report
99837,theophylline,14850,1982,Influence of food intake on bioavailability of theophylline in premature infants
98065,theophylline,14850,1982,Influence of food intake on bioavailability of theophylline in premature infants
99931,sudden infant death syndrome,12485,1982,Physiological and clinical aspects of respiration control in infants with relation to the sudden infant death syndrome
99819,sudden infant death syndrome,12485,1982,Home monitoring of infants considered at risk for the sudden infant death syndrome - Four years experience 1977-1981
99836,sudden infant death syndrome,12485,1982,Statistical evaluation of respiratory control in infants to assess possible risk for the sudden infant death syndrome SIDS
99467,sudden infant death syndrome,12485,1983,REM sleep prevents sudden infant death syndrome
99764,sudden infant death syndrome,12485,1983,Respiratory frequency during sleep in siblings of sudden infant death syndrome victims a comparison with control normal infants
98056,tonsil,15944,1983,Radiologic evaluation of adenoids and tonsils in children with obstructive sleep apnea Plain films and fluoroscopy
99465,tonsil,15944,1983,Radiologic evaluation of adenoids and tonsils in children with obstructive sleep apnea Plain films and fluoroscopy
99764,sleep,12542,1983,Respiratory frequency during sleep in siblings of sudden infant death syndrome victims a comparison with control normal infants
99467,sleep,12542,1983,REM sleep prevents sudden infant death syndrome
99465,sleep,12542,1983,Radiologic evaluation of adenoids and tonsils in children with obstructive sleep apnea Plain films and fluoroscopy
98056,sleep,12542,1983,Radiologic evaluation of adenoids and tonsils in children with obstructive sleep apnea Plain films and fluoroscopy
99763,hypoxia,6716,1983,The effects of hypercapnia and hypoxia on single hypoglossal nerve fiber activity
99530,hypoxia,6716,1983,BREATHING DURING SLEEP THE RESPONSES TO ASPHYXIA and PROCHLORPERAZINE IN NORMAL SUBJECTS and PATIENTS WITH OBSTRUCTIVE SLEEP APNEA
99763,hypoglossal nerve,6651,1983,The effects of hypercapnia and hypoxia on single hypoglossal nerve fiber activity
99764,infant,6950,1983,Respiratory frequency during sleep in siblings of sudden infant death syndrome victims a comparison with control normal infants
99763,hyperoxia,6574,1983,The effects of hypercapnia and hypoxia on single hypoglossal nerve fiber activity
99763,hypercapnia,6539,1983,The effects of hypercapnia and hypoxia on single hypoglossal nerve fiber activity
99544,hemorheology,6215,1983,Regulation of cerebral hemodynamics in health and disease
99763,control of breathing,3392,1983,The effects of hypercapnia and hypoxia on single hypoglossal nerve fiber activity
98056,adenoid,350,1983,Radiologic evaluation of adenoids and tonsils in children with obstructive sleep apnea Plain films and fluoroscopy
99465,adenoid,350,1983,Radiologic evaluation of adenoids and tonsils in children with obstructive sleep apnea Plain films and fluoroscopy
99464,apnea detection,1002,1983,Automated apnoea detection by computer analysis of tracheal breath sounds
98055,apnea detection,1002,1983,Automated apnoea detection by computer analysis of tracheal breath sounds
125291,apnea detection,1002,1983,Automated apnoea detection by computer analysis of tracheal breath sounds
99544,cerebral blood flow,2465,1983,Regulation of cerebral hemodynamics in health and disease
99421,cat,2338,1984,Dynamic changes of hypoglossal and phrenic activities by hypoxia and hypercapnia
99402,benzodiazepine,1533,1984,Idiopathic alveolar hypoventilation in Leber disease Unusual sensitivity to mild analgesics and diazepam
99402,analgesic,773,1984,Idiopathic alveolar hypoventilation in Leber disease Unusual sensitivity to mild analgesics and diazepam
99402,complication,3175,1984,Idiopathic alveolar hypoventilation in Leber disease Unusual sensitivity to mild analgesics and diazepam
99303,complication,3175,1984,Sleep apnoea following cervical cord surgery
99683,cognition,3030,1984,The experience of insomnia and daytime and nightime functioning
99415,cognition,3030,1984,The experience of insomnia and daytime and nightime functioning
99422,dog,4284,1984,Laryngeal pressure receptors
99376,electroencephalogram,4623,1984,A microcomputer system for monitoring and analysing oxyhemoglobin saturation during sleep
99399,electrophysiology,4649,1984,Measurement error in visually scored electrophysiological data respiration during sleep
99421,hypercapnia,6539,1984,Dynamic changes of hypoglossal and phrenic activities by hypoxia and hypercapnia
99402,hypnotics,6627,1984,Idiopathic alveolar hypoventilation in Leber disease Unusual sensitivity to mild analgesics and diazepam
99415,insomnia,7050,1984,The experience of insomnia and daytime and nightime functioning
99683,insomnia,7050,1984,The experience of insomnia and daytime and nightime functioning
99421,hypoglossal nerve,6651,1984,Dynamic changes of hypoglossal and phrenic activities by hypoxia and hypercapnia
99421,hypoxia,6716,1984,Dynamic changes of hypoglossal and phrenic activities by hypoxia and hypercapnia
99422,larynx,7610,1984,Laryngeal pressure receptors
99399,measurement error,8387,1984,Measurement error in visually scored electrophysiological data respiration during sleep
99415,sleep,12542,1984,The experience of insomnia and daytime and nightime functioning
99683,sleep,12542,1984,The experience of insomnia and daytime and nightime functioning
99399,reliability,11841,1984,Measurement error in visually scored electrophysiological data respiration during sleep
99303,surgery,14408,1984,Sleep apnoea following cervical cord surgery
125283,sudden infant death syndrome,12485,1985,Computerized acoustic detection of obstructive apnea
100572,tonsil,15944,1985,The lateral neck radiograph in adenotonsillar hyperplasia
100553,tonsillectomy,13395,1985,Nocturnal enuresis in children with upper airway obstruction
100557,sleep duration,15861,1985,Sleep and coronary heart disease
100468,sleep disturbance,12597,1985,Prevalence of sleep apnea in healthy industrial workers
100557,snoring,16381,1985,Sleep and coronary heart disease
100591,respiratory control,14112,1985,Apnea and periodic breathing in normal fullterm infants during the first twelve months
100578,sleep,12542,1985,Cardiac arrhythmias during sleep in morbidly obese sleepapneic patients before and after gastric bypass surgery
100591,periodic breathing,10649,1985,Apnea and periodic breathing in normal fullterm infants during the first twelve months
100535,mitochondrial myopathy,8803,1985,Mitochondrial myoneuropathy with respiratory failure and myoclonic epilepsy A case report with biochemical studies
100595,myoclonus,9192,1985,Excessive fragmentary myoclonus in NREM sleep A report of 38 cases
100553,nocturnal enuresis,15426,1985,Nocturnal enuresis in children with upper airway obstruction
100595,nrem sleep,9827,1985,Excessive fragmentary myoclonus in NREM sleep A report of 38 cases
100521,hypersomnia,6581,1985,Obstructive sleep apnea syndrome caused by oral cyst a case report
125283,frequency analysis,5529,1985,Computerized acoustic detection of obstructive apnea
100468,epidemiology,4836,1985,Prevalence of sleep apnea in healthy industrial workers
100557,arrhythmia,1105,1985,Sleep and coronary heart disease
100572,adenoid,350,1985,The lateral neck radiograph in adenotonsillar hyperplasia
100553,adenoidectomy,362,1985,Nocturnal enuresis in children with upper airway obstruction
100584,acute respiratory failure,317,1985,Amyotrophic lateral sclerosis presenting with respiratory insufficiency as the primary complaint Clinicopathological study of a case
100478,children,2656,1985,Obstructive sleep apnoea probably related to a foreign body
98978,central,2401,1986,Primary central alveolar hypoventilation in a child Early diagnosis during acute illness trials with respiratory stimuli studies related to endorphins
99001,central chemoreceptor,2411,1986,Responses of hypoglossal and phrenic nerves to decreased respiratory drive in cats
100351,autonomic dysfunction,1360,1986,Occult respiratory and autonomic dysfunction in craniovertebral anomalies and upper cervical spinal disease
100305,breathing,1906,1986,Automatic analysis of static charge sensitive bed SCSB recordings in the evaluation of sleeprelated apneas
98990,analgesic,773,1986,The role of endogenous peptides in the action of opioid analgesics
100312,endoscopy,4749,1986,Endoscopic observations of obstructive sleep apnea in children with anomalous upper airways predictive and therapeutic value
100325,computerized tomography,3230,1986,Three-dimensional CT reconstructions of tongue and airway in adult subjects with obstructive sleep apnea
