old_keyword,new_keyword
1,1
10 fructose solution,10 fructose solution
11-beta hydroxysteroid dehydrogenase 1,11-beta hydroxysteroid dehydrogenase 1
11b-hsd type 1,11-beta hydroxysteroid dehydrogenase 1
11-hsd,11-beta hydroxysteroid dehydrogenase 1
11hsd1,11-hydroxysteroid dehydrogenase type 1
11-hsd1,11-hydroxysteroid dehydrogenase type 1
11-hsd1 inhibition,11-hydroxysteroid dehydrogenase inhibitor
11-hsd1 inhibitor,11-hydroxysteroid dehydrogenase inhibitor
11-hydroxysteroid,11-hydroxysteroid
11-hydroxysteroid dehydrogenase,11-hydroxysteroid dehydrogenase
11-hydroxysteroid dehydrogenase inhibitor,11-hydroxysteroid dehydrogenase inhibitor
11-hydroxysteroid dehydrogenase type 1,11-hydroxysteroid dehydrogenase type 1
12-dimethylbenzaanthracene,12-dimethylbenzaanthracene
14-3-3,14-3-3
16s rrna,16s rrna
17-alpha hydroxyprogesterone caproate,17-alpha hydroxyprogesterone caproate
17-estradiol,17-estradiol
18fdg-craving-zucker-food restriction,18fdg-craving-zucker-food restriction
18f-fdg,fluorodeoxyglucose
18-glycyrrhetinic acid,18-glycyrrhetinic acid
1996 world food summit,1996 world food summit
1-deoxynojirimycin,1-deoxynojirimycin
1gf-1,1gf-1
1h-quino7,1h-quino7
1rm,1rm
2,2
2010 dietary guidelines for americans,2010 dietary guidelines for americans
2015 dietary guidelines,2015 dietary guidelines
22 countries,22 countries
24 h energy expenditure,24-h energy expenditure
24-h dietary recall,24-h dietary recall
24-h ph-metry,24-h ph-metry
24-hour dietary recall,24-hour dietary recall
25d,25d
25-hydroxivitamin d3,25-hydroxivitamin d3
25-hydroxyvitamin d,25-hydroxyvitamin d
2a1a-adrenergic receptor,2a1a-adrenergic receptor
2-aminoalkyl nicotinamide,2-aminoalkyl nicotinamide
2-arachidonoylglycerol,2-arachidonoylglycerol
2-arylquinazolin-4-ones,2-arylquinazolin-4-ones
2-iminiomethylvinamidinium salt,2-iminiomethylvinamidinium salt
3,3
30-day cause of death,30-day cause of death
3-adrenergic receptor,3-adrenergic receptor
3-adrenergic receptor agonists,3-adrenergic receptor agonist
3-adrenoceptor,3-adrenergic receptor
3-adrenoceptor agonist,3-adrenergic receptor agonist
3-benzazepine,3-benzazepine
3d photonic scanning,3d photonic scanning
3-digallate,3-digallate
3-dioxygenase,3-dioxygenase
3d-qsar,3d-qsar
3-hydroxy-3-methylglutaryl coa synthase,3-hydroxy-3-methylglutaryl coa synthase
3-phenylpropanoic acids,3-phenylpropanoic acid
3t3-f442a,3t3-f442a
3t3-l1,3t3-l1 adipocyte
3t3l1 adipocyte,3t3-l1 adipocyte
3t3-l1 adipocyte,3t3-l1 adipocyte
3t3-l1 adipocytes,3t3-l1 adipocyte
3t3-l1 cell,3t3-l1 cell
3t3-l1 cells,3t3-l1 cell
3t3-l1 differentiation,3t3-l1 differentiation
3t3-l1 murine adipocytes,3t3-l1 murine adipocyte
3t3-l1 preadipocyte,3t3-l1 preadipocyte
3-triazole,3-triazole
4,4
4benzodiazepine-3- carboxylic acid,4benzodiazepine-3- carboxylic acid
4e-bp1,4e-bp1
4-methylbenzoic acids,4-methylbenzoic acid
4-methylenesteroids,4-methylenesteroid
4-nitroquinoline-1-oxide,4-nitroquinoline-1-oxide
4-o-methylhonokiol,4-o-methylhonokiol
4-quinolone-3-carboxylic acid,4-quinolone-3-carboxylic acid
4-trihydroxyisoflavone,4-trihydroxyisoflavone
5,5
5-2-1-0,5-2-1-0
5-arylidene-4-thiazolidinone derivatives,5-arylidene-4-thiazolidinone derivative
5-cyclic monophosphate,5-cyclic monophosphate
5-diaryl pyrazole,5-diaryl pyrazole
5-ht,5-ht
5-ht2c,5-ht2c
5-ht6 antagonist,5-ht6 antagonist
5-htt,5-htt
5-httlpr,5-httlpr
5-hydroxy indol acetic acid,5-hydroxy indol acetic acid
5-hydroxytryptamine,5-hydroxytryptamine
5-hydroxytryptophan,5-hydroxytryptophan
5-lipoxygenase,5-lipoxygenase
5-thiadiazole carbamates,5-thiadiazole carbamate
6,6
6-dehydrokawain,6-dehydrokawain
6-n-propylthiouracil,6-n-propylthiouracil
6-sulfatoxymelatonin,6-sulfatoxymelatonin
6-trihydroxybenzaldehyde,6-trihydroxybenzaldehyde
7,7
8-b1,8-b1
a body shape index,a body shape index
a healthy school start,a healthy school start
a/ fold hydrolase,a/ fold hydrolase
aa/epa ratio,aa/epa ratio
a-amylase,a-amylase
a-amylase and a-glucosidase,a-amylase and a-glucosidase
a-amylase inhibition,a-amylase inhibition
abbreviations bdz benzodiazepine,abbreviations bdz benzodiazepine
abc transporters,abc transporter
abca1,atp binding cassette transporter a1
abdomen,abdomen
abdomen injury,abdomen injury
abdominal,abdominal
abdominal adipose tissue,abdominal adipose tissue
abdominal adiposity,abdominal adiposity
abdominal aortic aneurysm,abdominal aortic aneurysm
abdominal circumference,abdominal circumference
abdominal circunference,abdominal circumference
abdominal fat,abdominal fat
abdominal fat distribution,abdominal fat distribution
abdominal hernia,abdominal hernia
abdominal imaging,abdominal imaging
abdominal injury,abdominal injury
abdominal obesity,abdominal obesity
abdominal pain,abdominal pain
abdominal surgery,abdominal surgery
abdominal wall,abdominal wall
abdominoplasty,abdominoplasty
abhd6,abhd6
ablation,ablation
able-bodied,able-bodied
abnormal liver function,abnormal liver function
abnormalities,abnormality
abo blood group,abo blood group
aboriginal,aboriginal
aboriginal health,aboriginal health
aborigines,aborigines
absences,absence
absenteeism,absenteeism
absolute bioavailability,absolute bioavailability
absolute risk,absolute risk
absorptiometry,absorptiometry
absorption,absorption
abstinence,abstinence
abuse,abuse
academic achievement,academic achievement
academic discourse,academic discourse
academic performance,academic performance
acanthosis nigricans,acanthosis nigrican
acarbose,acarbose
acaudina molpadioides,acaudina molpadioide
acc,acetyl-coa carboxylase
acceleration,acceleration
accelerometer,accelerometer
accelerometers,accelerometer
accelerometery,accelerometery
accelerometry,accelerometery
acceptability,acceptability
acceptance,acceptance
acceptance and commitment therapy,acceptance and commitment therapy
access,access
access port,access port
access to care,access to care
access to health services,access to healthcare
access to healthcare,access to healthcare
access to information,access to information
accessibility,accessibility
accidents,accident
acclimatization,acclimatization
accountability,accountability
accreditation,accreditation
acculturation,acculturation
accumbens,accumben
accuracy,accuracy
ace i/d polymorphism,ace i/d polymorphism
acetabulum,acetabulum
acetaminophen,acetaminophen
acetate,acetate
acetazolamide,acetazolamide
acetylation,acetylation
acetylcholine,acetylcholine
acetyl-coa acyltransferase 2,acetyl-coa acyltransferase 2
acetyl-coa carboxylase,acetyl-coa carboxylase
acetyl-coenzyme a carboxylase,acetyl-coa carboxylase
acetyltransferase,acetyltransferase
achalasia,achalasia
achilles tendon,achilles tendon
acid gelation,acid gelation
acne,acne
acromegaly,acromegaly
acs nsqip,acs nsqip
acsm-american college of sports medicine,acsm-american college of sports medicine
acs-nsqip,acs nsqip
act,act
act scanh,act scanh
acth,adrenocorticotropic hormone
actigraph,actigraphy
actigraphy,actigraphy
actitrainer accelerometer,actitrainer accelerometer
activated partial thromboplastin time,activated partial thromboplastin time
active ageing,active ageing
active commuting,active commuting
active commuting to school,active commuting to school
active leisure,active leisure
active lifestyle,active lifestyle
active living,active living
active parents,active parent
active play,active play
active transport,active transport
active transportation,active transportation
active travel,active travel
active video games,active video game
activin,activin
activin a,activin a
activin receptor,activin receptor
activities of daily living,activities of daily living
activity,activity
activity break,activity break
activity monitor,activity monitor
activity monitoring,activity monitoring
activity of daily living,activity of daily living
activity patterns,activity recognition
activity recognition,activity recognition
activpal,activpal
actor-partner interdependence model,actor-partner interdependence model
acupuncture,acupuncture
acupuncture therapy,acupuncture therapy
acupuncture-moxibustion therapy,acupuncture-moxibustion therapy
acute,acute
acute appendicitis,acute appendicitis
acute cholecystitis,acute cholecystitis
acute coronary syndrome,acute coronary syndrome
acute coronary syndromes,acute coronary syndrome
acute exercise,acute exercise
acute feeding,acute feeding
acute insulin response,acute insulin response
acute ischemic stroke,acute ischemic stroke
acute kidney injury,acute kidney injury
acute lung injury,acute lung injury
acute lymphoblastic leukemia,acute lymphoblastic leukemia
acute mountain sickness,acute mountain sickness
acute myocardial infarction,acute myocardial infarction
acute myocardil infarct scanion,acute myocardil infarct scanion
acute oral and dermal toxicity,acute oral and dermal toxicity
acute pancreatitis,acute pancreatitis
acute phase response,acute phase response
acute renal failure,acute renal failure
acute respiratory distress syndrome,acute respiratory distress syndrome
acute stress,acute stress
acute stroke,acute stroke
acute treatment,acute treatment
acute-phase proteins,acute-phase proteins
acyl coadiacylglycerol acyltransferase 1,acyl coadiacylglycerol acyltransferase 1
acyl ghrelin,acyl ghrelin
acylation,acylation
acylcarnitines,acylcarnitines
acyl-coa synthetase,acyl-coa synthetase
acyl-coenzyme acholesterol acyltransferase 2,acyl-coenzyme acholesterol acyltransferase 2
acyl-ghrelin,acyl-ghrelin
acyltransferase,acyltransferase
ad libitum energy intake,ad libitum energy intake
ad libitum intake,ad libitum intake
ad-36,adenovirus 36
ada - american diabetic association,ada - american diabetic association
adamantane,adamantane
adamts-13,adamts-13
adaptation,adaptation
adapted physical activity,adapted physical activity
adaptive and innate immunity,adaptive and innate immunity
adaptive immunity,adaptive immunity
adaptive thermogenesis,adaptive thermogenesis
adaptive treatment strategies,adaptive treatment strategy
add health,add health
added sugars,added sugar
addiction,addiction
addiction transfer,addiction transfer
adeno-associated virus,adenovirus
adenocarcinoma,adenocarcinoma
adenoidectomy,adenoidectomy
adenosine,adenosine
adenosine 5-monophosphate-activated protein kinase,adenosine monophosphate-activated protein kinase
adenosine monophosphate-activated protein kinase,adenosine monophosphate-activated protein kinase
adenotonsillar hypertrophy,adenotonsillar hypertrophy
adenotonsillectomy,adenotonsillectomy
adenovirus,adenovirus
adenovirus 36,adenovirus 36
adenylyl cyclase,adenylyl cyclase
adhd,attention deficit hyperactivity disorder
adherence,adherence
adhesion,adhesion
adhesion molecules,adhesion molecules
adhesions,adhesion
adipo/cytokine,adipo/cytokine
adipocyte,adipocyte
adipocyte differentiation,adipocyte differentiation
adipocyte differentiation markers,adipocyte differentiation marker
adipocyte fatty acid binding protein,adipocyte fatty acid binding protein
adipocyte hormones,adipocyte hormone
adipocyte hypertrophy,adipocyte hypertrophy
adipocyte progenitors,adipocyte progenitor
adipocyte size,adipocyte size
adipocyte volume,adipocyte volume
adipocytokine,adipocytokine
adipogenesis,adipogenesis
adipogenesis/lipogenesis,adipogenesis/lipogenesis
adipogenic differentiation,adipogenic differentiation
adipokine,adipokine
adipokines,adipokine
adiponect scanin,adiponect scanin
adiponect scanin receptors,adiponect scanin receptor
adiponectin,adiponectin
adiponectin gene,adiponectin gene
adiponectin isoforms,adiponectin isoform
adiponectin receptor,adiponectin receptor
adiponectin receptor 1,adiponectin receptor 1
adiponectin receptors,adiponectin receptor
adiponectine,adiponectine
adiponectin-obesity,adiponectin-obesity
adipoq,adiponectin precursor
adipor1,adiponectin receptor 1
adipor2,adiponectin receptor 2
adipose,adipose
adipose browning,adipose browning
adipose cell size,adipose cell size
adipose inflammation,adipose inflammation
adipose tissue,adipose tissue
adipose tissue browning,adipose tissue browning
adipose tissue depots,adipose tissue depots
adipose tissue distribution,adipose tissue distribution
adipose tissue dysfunction,adipose tissue dysfunction
adipose tissue gene expression,adipose tissue gene expression
adipose tissue growth,adipose tissue growth
adipose tissue inflammation,adipose tissue inflammation
adipose tissue macrophage,adipose tissue macrophage
adipose tissue macrophages,adipose tissue macrophage
adipose tissue metabolism,adipose tissue metabolism
adipose tissue quantification,adipose tissue quantification
adipose tissues,adipose tissue
adipose triglyceride lipase,adipose triglyceride lipase
adipose-derived stem cells,adipose-derived stem cell
adiposity,adiposity
adiposity indices,adiposity indices
adiposity rebound,adiposity rebound
adizones,adizones
adjustable gastric band,adjustable gastric band
adjustable gastric banding,adjustable gastric banding
adjustable gastric bandinging,adjustable gastric banding
adjustment,adjustment
adjuvant therapy,adjuvant therapy
adma,asymmetric dimethylarginine
admet properties,admet properties
administrative data,administrative data
adolescence,adolescent
adolescent,adolescent
adolescent development,adolescent development
adolescent dietary preferences,adolescent dietary preference
adolescent exposure,adolescent exposure
adolescent female,adolescent female
adolescent females,adolescent female
adolescent girls,adolescent girl
adolescent health,adolescent health
adolescent obesity,adolescent obesity
adolescent obesity prevention,adolescent obesity prevention
adolescent overweight,adolescent overweight
adolescent pregnancy,adolescent pregnancy
adolescents,adolescent
adolescents dieting,adolescent dieting
adrb1,adrenoceptor beta 1
adrenal,adrenal
adrenal gland,adrenal gland
adrenal glands,adrenal gland
adrenal incidentaloma,adrenal incidentaloma
adrenal insufficiency,adrenal insufficiency
adrenalectomy,adrenalectomy
adrenaline,adrenaline
adrenarche,adrenarche
adrenergic,adrenergic
adrenergic receptor,adrenergic receptor
-adrenergic receptors,adrenergic receptor
adrenocorticotropic hormone,adrenocorticotropic hormone
adropin,adropin
adult,adult
adult adhd,adult attention deficit hyperactivity disorder
adult and elderly nutrition,adult and elderly nutrition
adult attachment,adult attachment
adult diseases,adult disease
adult obesity,adult obesity
adult scoliosis,adult scoliosis
adult zebrafish,adult zebrafish
adulthood,adulthood
adults,adult
advanced glycation end products,advanced glycation end product
advanced oxidation protein products,advanced oxidation protein product
adventitia,adventitia
advergames,advergames
adverse childhood experiences,adverse childhood experience
adverse drug reaction,adverse drug reaction
adverse effects,adverse effect
adverse event,adverse event
adverse events,adverse event
adverse pregnancy outcomes,adverse pregnancy outcomes
adverse reactions,adverse reactions
adversemetabolic response,adversemetabolic response
advertisement,advertisement
advertisements,advertisement
advertising,advertising
advocacy,advocacy
aerobic,aerobic
aerobic capacity,aerobic capacity
aerobic exercise,aerobic exercise
aerobic exercise training,aerobic exercise training
aerobic fitness,aerobic fitness
aerobic interval training,aerobic interval training
aerobic power,aerobic power
aerobic threshold,aerobic threshold
aerobic training,aerobic training
aesthetic labour,aesthetic labour
aetiology,aetiology
affect,affect
affective disorders,affective disorder
affective symptoms,affective symptom
affordance,affordance
affymetrix mouse genechip,affymetrix mouse genechip
africa,africa
africa south of the sahara,africa south of the sahara
african,african
african american,african american
african american women,african american women
african american youth,african american youth
african-american women,african american women
afternoon meal,afternoon meal
afterschool,afterschool
agamben,agamben
age,age
age at menarche,age at menarche
age group,age group
age of onset,age of onset
age trends,age trends
aged,aged
ageing,ageing
agent-based model,agent-based model
age-period-cohort models,age-period-cohort model
age-related androgen deficiency,age-related androgen deficiency
age-related disease,age-related disease
age-related diseases,age-related disease
age-related hearing impairment,age-related hearing impairment
aging,aging
aging workforce,aging workforce
a-glucosidase,a-glucosidase
a-glucosidase inhibition,a-glucosidase inhibition
agonist,agonist
agouti,agouti
agouti related peptide,agouti related peptide
agouti-related protein,agouti related peptide
agreement,agreement
agricultural development,agricultural development
agriculture,agriculture
agriculture policy,agriculture policy
