art_id,keyword,key_id
45969,1,1
42199,11-hydroxysteroid dehydrogenase,5
56610,11-hydroxysteroid dehydrogenase type 1,7
48786,2,20
50751,25d,28
54999,2-arachidonoylglycerol,33
45969,3,36
54029,3-adrenergic receptor,38
56767,3t3-l1 adipocyte,48
52378,3t3-l1 cell,49
46080,3t3-l1 preadipocyte,52
46496,5-ht2c,69
47468,5-hydroxytryptamine,74
51803,abdomen,94
51920,abdominal,96
47705,abdominal adipose tissue,97
57061,abdominal adiposity,98
48165,abdominal aortic aneurysm,99
57576,abdominal circumference,100
57729,abdominal obesity,106
56317,abdominal pain,107
56004,abdominal wall,109
53589,abdominoplasty,110
48635,ablation,112
57140,aboriginal,117
53112,aboriginal health,118
39806,absenteeism,121
53050,absorptiometry,124
56958,absorption,125
49989,abuse,127
55843,academic achievement,128
55733,academic performance,130
57656,acanthosis nigrican,131
44570,acarbose,132
57784,accelerometer,135
57716,accelerometery,136
38747,acceptance and commitment therapy,139
42169,access,140
15448,access to care,142
52660,accessibility,145
55679,acculturation,150
55168,accuracy,152
45079,ace i/d polymorphism,153
51381,acetate,156
53425,acetazolamide,157
55510,acetylcholine,159
57462,acetyl-coa carboxylase,161
56404,achalasia,163
51891,achilles tendon,164
51806,acne,166
51191,acromegaly,167
55887,actigraphy,172
57694,active commuting,177
53881,active living,181
56718,active transport,184
53631,active transportation,185
41273,active travel,186
55997,activities of daily living,191
52838,activity,192
43394,activity recognition,197
51278,acupuncture,200
54103,acute coronary syndrome,206
52365,acute exercise,207
54942,acute kidney injury,211
56034,acute lung injury,212
55071,acute lymphoblastic leukemia,213
53742,acute myocardial infarction,215
55490,acute pancreatitis,218
48105,acute renal failure,220
57703,acute respiratory distress syndrome,221
53529,adaptation,239
42930,adaptive thermogenesis,243
54434,added sugar,246
55571,addiction,247
57684,adenocarcinoma,249
53763,adenoidectomy,250
52081,adenosine,251
55697,adenosine monophosphate-activated protein kinase,252
55839,adenotonsillectomy,254
54195,adenovirus,255
57646,adherence,258
48089,adhesion,259
54206,adhesion molecules,260
57658,adipocyte,262
56767,adipocyte differentiation,263
52485,adipocyte size,269
57615,adipogenesis,272
30717,adipogenic differentiation,274
57811,adipokine,275
57778,adiponectin,278
47093,adiponectin receptor,282
43617,adiponectin receptor 1,283
43617,adiponectin receptor 2,284
56026,adipose,287
56602,adipose inflammation,290
57791,adipose tissue,291
55579,adipose tissue inflammation,298
54218,adipose tissue macrophage,299
56922,adipose triglyceride lipase,302
41196,adiposity rebound,306
55876,adjustable gastric band,308
53042,adjustable gastric banding,309
52158,adjustment,310
31432,adjuvant therapy,311
34769,administrative data,313
57730,adolescent,314
55558,adolescent girl,320
57159,adolescent health,321
55768,adolescent obesity,322
55443,adolescent pregnancy,325
54811,adrenal,326
53334,adrenal gland,327
53873,adrenal incidentaloma,328
53006,adrenalectomy,330
50818,adrenergic,333
36515,adrenergic receptor,334
54811,adrenocorticotropic hormone,336
57431,adult,338
46038,adult obesity,343
54653,adulthood,346
43280,advanced glycation end product,347
37049,adverse drug reaction,352
56434,adverse effect,353
55337,adverse event,354
56333,adverse reactions,356
50527,advertisement,358
57331,advertising,359
49172,advocacy,360
57604,aerobic,361
56157,aerobic capacity,362
56647,aerobic exercise,363
57018,aerobic fitness,365
45145,aerobic training,369
36649,aetiology,371
57192,affect,372
57757,africa,377
55894,african,379
56080,african american,380
52071,african american women,381
57753,age,386
54433,age at menarche,387
57800,aged,391
54941,ageing,392
57750,aging,398
54788,agonist,402
57353,agouti related peptide,404
56349,agreement,405
52647,agriculture,407
35006,aha scientific statement,411
57162,aids,413
56262,air displacement plethysmography,414
54213,air pollution,416
49257,air-displacement plethysmography,417
56868,airway,419
56138,airway hyperresponsiveness,420
56216,airway inflammation,421
57153,airway obstruction,422
38285,airway resistance,423
29971,airway responsiveness,424
54240,akt,426
57538,alanine aminotransferase,430
49897,alaska native,432
53757,albright hereditary osteodystrophy,436
50455,albumin,437
56647,albuminuria,438
57568,alcohol,441
50705,alcohol abuse,442
56849,alcohol consumption,443
49327,alcohol dependence,444
57134,alcohol drinking,445
37480,alcoholic liver disease,448
57685,alcoholism,449
54898,aldosterone,451
57127,alexithymia,453
56094,alginate,455
46815,algorithm,456
51207,aliskiren,459
35036,all-cause mortality,464
52092,allergy,466
53982,allostasis,472
49287,alogliptin,475
56132,alpha-linolenic acid,479
54716,alpha-lipoic acid,480
57353,alpha-melanocyte-stimulating hormone,481
57045,alspac,482
57241,alstrom syndrome,484
51779,alstrom syndrome protein 1,485
57555,alzheimer disease,493
55240,ambulation,497
57362,ambulatory,498
54169,ambulatory blood pressure,499
55674,ambulatory blood pressure monitoring,500
49366,ambulatory care,501
39683,ambulatory surgery,503
55537,american indian,507
53942,amino acid,513
55402,amlodipine,514
57407,amp-activated protein kinase,516
50680,amygdala,520
54045,amylin,522
57466,amyloid,523
48109,amyotrophic lateral sclerosis,526
38469,anaemia,527
57209,anaerobic threshold,529
57645,anaesthesia,530
40721,anakinra,533
53001,anal incontinence,534
56827,analgesia,535
38116,analysis,537
54999,anandamide,538
51541,anaphylaxis,539
56979,anastomosis,540
57763,anastomotic leak,541
47126,anatomy,544
57540,androgen,547
51375,androgen deficiency,548
53345,androstenedione,550
57352,anemia,551
57414,anesthesia,552
40294,aneurysm,553
54258,anger,556
54331,angina,557
42678,angina pectoris,558
55701,angiogenesis,559
51168,angiography,560
51659,angioplasty,561
52831,angiotensin,562
53863,angiotensin 2,563
56131,angiotensin 2 type 1 receptor,565
47106,angiotensin receptor blocker,568
57368,angiotensin-converting enzyme gene,570
52485,angiotensinogen,571
55365,anhedonia,573
57320,animal model,576
56433,animal pharmacology,578
56741,ankle-brachial index,582
44590,ankylosing spondylitis,583
55571,anorexia,585
55895,anorexia nervosa,586
41072,anorexigenic,587
57172,anovulation,588
54758,antagonist,590
52818,anthocyanin,599
57689,anthropometric,601
57728,anthropometric index,603
49205,anthropometric measure,604
57131,anthropometric measurement,605
51191,anthropometric parameter,606
57659,anthropometry,607
34459,anti-adipogenesis,611
46612,antibody,618
38040,anticipatory guidance,623
55319,anticoagulant,624
54918,anticoagulation,625
56434,antidepressant,626
57776,antidiabetes,629
57305,antidiabetes drug,630
52325,antidiabetic,632
55551,antifat attitudes,638
42555,antihypertensive agent,643
57764,antihypertensive therapy,645
46516,anti-inflammation,647
57088,anti-mullerian hormone,650
57303,antiobesity,653
57193,antiobesity agents,654
56347,antiobesity drug,656
53082,antiobesity effect,657
57554,antioxidant,661
48032,antioxidant activity,662
57713,antioxidant capacity,664
35364,antioxidant enzyme,665
57398,antioxidant status,667
56255,antipsychotic,672
53889,antipsychotic agents,673
51594,antipsychotic drugs,674
57228,antipsychotics,676
47018,antiretroviral therapy,677
57107,anxiety,683
57127,anxiety disorder,684
56815,aorta,688
41493,aortic aneurysm,689
36591,aortic blood pressure,690
56429,aortic stenosis,692
43477,aortic stiffness,693
42224,aortic valve stenosis,694
56190,apelin,695
52467,apnea,697
50964,apnea hypopnea index,698
57149,apolipoprotein,706
53644,apolipoprotein a1,708
51786,apolipoprotein a5,710
55270,apolipoprotein b,711
53759,apolipoprotein b100,712
56473,apolipoprotein b48,713
57206,apolipoprotein e,716
57519,apoptosis,718
55072,appalachia,720
31655,appearance,722
55529,appendectomy,725
54771,appendicitis,726
57548,appetite,727
50505,appetite control,728
55007,appetite regulation,731
55478,appetite suppression,734
56184,arachidonic acid,753
57353,arb,754
53112,arctic,755
55441,arcuate nucleus,757
40645,argentina,760
56745,arginine,762
55226,aripiprazole,767
52381,aromatase,771
52763,array cgh,774
57727,arrhythmia,775
55316,arsenic,776
42460,art,778
56815,arterial blood pressure,780
53878,arterial compliance,781
43217,arterial pressure,785
57638,arterial stiffness,787
41332,arteries,788
56913,arteriosclerosis,790
55695,arteriovenous fistula,791
42394,artery,792
55866,arthritis,793
57341,arthroplasty,795
39981,artificial sweetener,798
48450,aryl hydrocarbon receptor,799
56521,ascorbic acid,802
51611,asia,803
57116,asian,804
54740,asian american,805
54458,asian indian,806
46579,aspartame,811
53681,aspartate aminotransferase,812
51559,aspirin,815
56895,assessment,818
48246,assisted reproduction,819
57527,assisted reproductive technology,820
46153,associated factor,821
53792,association,823
30001,association analysis,824
56589,association study,825
57611,asthma,829
53220,asthma control,830
57379,asymmetric dimethylarginine,836
35320,atherogenic diet,844
56795,atherogenic dyslipidemia,845
32804,atherogenic index,846
57671,atherosclerosis,848
50967,atherothrombosis,851
52696,atopy,860
52417,atorvastatin,861
36381,atp,862
50613,atp 3,863
50513,atp binding cassette transporter a1,866
56221,atrial fibrillation,869
54624,atrial natriuretic peptide,871
52972,attachment,872
49193,attendance,874
55338,attention,875
56240,attention deficit hyperactivity disorder,878
40190,attentional bias,882
