keyword,id
1,1
10 fructose solution,2
11-beta hydroxysteroid dehydrogenase 1,3
11-hydroxysteroid dehydrogenase type 1,4
11-hydroxysteroid dehydrogenase inhibitor,5
11-hydroxysteroid,6
11-hydroxysteroid dehydrogenase,7
12-dimethylbenzaanthracene,8
14-3-3,9
16s rrna,10
17-alpha hydroxyprogesterone caproate,11
17-estradiol,12
18fdg-craving-zucker-food restriction,13
fluorodeoxyglucose,14
18-glycyrrhetinic acid,15
1996 world food summit,16
1-deoxynojirimycin,17
1gf-1,18
1h-quino7,19
1rm,20
2,21
2010 dietary guidelines for americans,22
2015 dietary guidelines,23
22 countries,24
24-h energy expenditure,25
24-h dietary recall,26
24-h ph-metry,27
24-hour dietary recall,28
25d,29
25-hydroxivitamin d3,30
25-hydroxyvitamin d,31
2a1a-adrenergic receptor,32
2-aminoalkyl nicotinamide,33
2-arachidonoylglycerol,34
2-arylquinazolin-4-ones,35
2-iminiomethylvinamidinium salt,36
3,37
30-day cause of death,38
3-adrenergic receptor,39
3-adrenergic receptor agonist,40
3-benzazepine,41
3d photonic scanning,42
3-digallate,43
3-dioxygenase,44
3d-qsar,45
3-hydroxy-3-methylglutaryl coa synthase,46
3-phenylpropanoic acid,47
3t3-f442a,48
3t3-l1 adipocyte,49
3t3-l1 cell,50
3t3-l1 differentiation,51
3t3-l1 murine adipocyte,52
3t3-l1 preadipocyte,53
3-triazole,54
4,55
4benzodiazepine-3- carboxylic acid,56
4e-bp1,57
4-methylbenzoic acid,58
4-methylenesteroid,59
4-nitroquinoline-1-oxide,60
4-o-methylhonokiol,61
4-quinolone-3-carboxylic acid,62
4-trihydroxyisoflavone,63
5,64
5-2-1-0,65
5-arylidene-4-thiazolidinone derivative,66
5-cyclic monophosphate,67
5-diaryl pyrazole,68
5-ht,69
5-ht2c,70
5-ht6 antagonist,71
5-htt,72
5-httlpr,73
5-hydroxy indol acetic acid,74
5-hydroxytryptamine,75
5-hydroxytryptophan,76
5-lipoxygenase,77
5-thiadiazole carbamate,78
6,79
6-dehydrokawain,80
6-n-propylthiouracil,81
6-sulfatoxymelatonin,82
6-trihydroxybenzaldehyde,83
7,84
8-b1,85
a body shape index,86
a healthy school start,87
a/ fold hydrolase,88
aa/epa ratio,89
a-amylase,90
a-amylase and a-glucosidase,91
a-amylase inhibition,92
abbreviations bdz benzodiazepine,93
abc transporter,94
atp binding cassette transporter a1,95
abdomen,96
abdomen injury,97
abdominal,98
abdominal adipose tissue,99
abdominal adiposity,100
abdominal aortic aneurysm,101
abdominal circumference,102
abdominal fat,103
abdominal fat distribution,104
abdominal hernia,105
abdominal imaging,106
abdominal injury,107
abdominal obesity,108
abdominal pain,109
abdominal surgery,110
abdominal wall,111
abdominoplasty,112
abhd6,113
ablation,114
able-bodied,115
abnormal liver function,116
abnormality,117
abo blood group,118
aboriginal,119
aboriginal health,120
aborigines,121
absence,122
absenteeism,123
absolute bioavailability,124
absolute risk,125
absorptiometry,126
absorption,127
abstinence,128
abuse,129
academic achievement,130
academic discourse,131
academic performance,132
acanthosis nigrican,133
acarbose,134
acaudina molpadioide,135
acetyl-coa carboxylase,136
acceleration,137
accelerometer,138
accelerometery,139
acceptability,140
acceptance,141
acceptance and commitment therapy,142
access,143
access port,144
access to care,145
access to healthcare,146
access to information,147
accessibility,148
accident,149
acclimatization,150
accountability,151
accreditation,152
acculturation,153
accumben,154
accuracy,155
ace i/d polymorphism,156
acetabulum,157
acetaminophen,158
acetate,159
acetazolamide,160
acetylation,161
acetylcholine,162
acetyl-coa acyltransferase 2,163
acetyltransferase,164
achalasia,165
achilles tendon,166
acid gelation,167
acne,168
acromegaly,169
acs nsqip,170
acsm-american college of sports medicine,171
act,172
act scanh,173
adrenocorticotropic hormone,174
actigraphy,175
actitrainer accelerometer,176
activated partial thromboplastin time,177
active ageing,178
active commuting,179
active commuting to school,180
active leisure,181
active lifestyle,182
active living,183
active parent,184
active play,185
active transport,186
active transportation,187
active travel,188
active video game,189
activin,190
activin a,191
activin receptor,192
activities of daily living,193
activity,194
activity break,195
activity monitor,196
activity monitoring,197
activity of daily living,198
activity recognition,199
activpal,200
actor-partner interdependence model,201
acupuncture,202
acupuncture therapy,203
acupuncture-moxibustion therapy,204
acute,205
acute appendicitis,206
acute cholecystitis,207
acute coronary syndrome,208
acute exercise,209
acute feeding,210
acute insulin response,211
acute ischemic stroke,212
acute kidney injury,213
acute lung injury,214
acute lymphoblastic leukemia,215
acute mountain sickness,216
acute myocardial infarction,217
acute myocardil infarct scanion,218
acute oral and dermal toxicity,219
acute pancreatitis,220
acute phase response,221
acute renal failure,222
acute respiratory distress syndrome,223
acute stress,224
acute stroke,225
acute treatment,226
acute-phase proteins,227
acyl coadiacylglycerol acyltransferase 1,228
acyl ghrelin,229
acylation,230
acylcarnitines,231
acyl-coa synthetase,232
acyl-coenzyme acholesterol acyltransferase 2,233
acyl-ghrelin,234
acyltransferase,235
ad libitum energy intake,236
ad libitum intake,237
adenovirus 36,238
ada - american diabetic association,239
adamantane,240
adamts-13,241
adaptation,242
adapted physical activity,243
adaptive and innate immunity,244
adaptive immunity,245
adaptive thermogenesis,246
adaptive treatment strategy,247
add health,248
added sugar,249
addiction,250
addiction transfer,251
adenovirus,252
adenocarcinoma,253
adenoidectomy,254
adenosine,255
adenosine monophosphate-activated protein kinase,256
adenotonsillar hypertrophy,257
adenotonsillectomy,258
adenylyl cyclase,259
attention deficit hyperactivity disorder,260
adherence,261
adhesion,262
adhesion molecules,263
adipo/cytokine,264
adipocyte,265
adipocyte differentiation,266
adipocyte differentiation marker,267
adipocyte fatty acid binding protein,268
adipocyte hormone,269
adipocyte hypertrophy,270
adipocyte progenitor,271
adipocyte size,272
adipocyte volume,273
adipocytokine,274
adipogenesis,275
adipogenesis/lipogenesis,276
adipogenic differentiation,277
adipokine,278
adiponect scanin,279
adiponect scanin receptor,280
adiponectin,281
adiponectin gene,282
adiponectin isoform,283
adiponectin receptor,284
adiponectin receptor 1,285
adiponectine,286
adiponectin-obesity,287
adiponectin precursor,288
adiponectin receptor 2,289
adipose,290
adipose browning,291
adipose cell size,292
adipose inflammation,293
adipose tissue,294
adipose tissue browning,295
adipose tissue depots,296
adipose tissue distribution,297
adipose tissue dysfunction,298
adipose tissue gene expression,299
adipose tissue growth,300
adipose tissue inflammation,301
adipose tissue macrophage,302
