old_keyword,new_keyword,id
1,1,1
10 fructose solution,10 fructose solution,2
11-beta hydroxysteroid dehydrogenase 1,11-beta hydroxysteroid dehydrogenase 1,3
11b-hsd type 1,11-beta hydroxysteroid dehydrogenase 1,3
11-hsd,11-beta hydroxysteroid dehydrogenase 1,3
11-hydroxysteroid,11-hydroxysteroid,4
11-hydroxysteroid dehydrogenase,11-hydroxysteroid dehydrogenase,5
11-hydroxysteroid dehydrogenase inhibitor,11-hydroxysteroid dehydrogenase inhibitor,6
11-hsd1 inhibition,11-hydroxysteroid dehydrogenase inhibitor,6
11-hsd1 inhibitor,11-hydroxysteroid dehydrogenase inhibitor,6
11-hydroxysteroid dehydrogenase type 1,11-hydroxysteroid dehydrogenase type 1,7
11hsd1,11-hydroxysteroid dehydrogenase type 1,7
11-hsd1,11-hydroxysteroid dehydrogenase type 1,7
12-dimethylbenzaanthracene,12-dimethylbenzaanthracene,8
14-3-3,14-3-3,9
16s rrna,16s rrna,10
17-alpha hydroxyprogesterone caproate,17-alpha hydroxyprogesterone caproate,11
17-estradiol,17-estradiol,12
18fdg-craving-zucker-food restriction,18fdg-craving-zucker-food restriction,13
18-glycyrrhetinic acid,18-glycyrrhetinic acid,14
1996 world food summit,1996 world food summit,15
1-deoxynojirimycin,1-deoxynojirimycin,16
1gf-1,1gf-1,17
1h-quino7,1h-quino7,18
1rm,1rm,19
2,2,20
2010 dietary guidelines for americans,2010 dietary guidelines for americans,21
2015 dietary guidelines,2015 dietary guidelines,22
22 countries,22 countries,23
24-h dietary recall,24-h dietary recall,24
24 h energy expenditure,24-h energy expenditure,25
24-h ph-metry,24-h ph-metry,26
24-hour dietary recall,24-hour dietary recall,27
25d,25d,28
25-hydroxivitamin d3,25-hydroxivitamin d3,29
25-hydroxyvitamin d,25-hydroxyvitamin d,30
2a1a-adrenergic receptor,2a1a-adrenergic receptor,31
2-aminoalkyl nicotinamide,2-aminoalkyl nicotinamide,32
2-arachidonoylglycerol,2-arachidonoylglycerol,33
2-arylquinazolin-4-ones,2-arylquinazolin-4-ones,34
2-iminiomethylvinamidinium salt,2-iminiomethylvinamidinium salt,35
3,3,36
30-day cause of death,30-day cause of death,37
3-adrenergic receptor,3-adrenergic receptor,38
3-adrenoceptor,3-adrenergic receptor,38
3-adrenoceptor agonist,3-adrenergic receptor agonist,39
3-adrenergic receptor agonists,3-adrenergic receptor agonist,39
3-benzazepine,3-benzazepine,40
3d photonic scanning,3d photonic scanning,41
3-digallate,3-digallate,42
3-dioxygenase,3-dioxygenase,43
3d-qsar,3d-qsar,44
3-hydroxy-3-methylglutaryl coa synthase,3-hydroxy-3-methylglutaryl coa synthase,45
3-phenylpropanoic acids,3-phenylpropanoic acid,46
3t3-f442a,3t3-f442a,47
3t3-l1,3t3-l1 adipocyte,48
3t3l1 adipocyte,3t3-l1 adipocyte,48
3t3-l1 adipocyte,3t3-l1 adipocyte,48
3t3-l1 adipocytes,3t3-l1 adipocyte,48
3t3-l1 cell,3t3-l1 cell,49
3t3-l1 cells,3t3-l1 cell,49
3t3-l1 differentiation,3t3-l1 differentiation,50
3t3-l1 murine adipocytes,3t3-l1 murine adipocyte,51
3t3-l1 preadipocyte,3t3-l1 preadipocyte,52
3-triazole,3-triazole,53
4,4,54
4benzodiazepine-3- carboxylic acid,4benzodiazepine-3- carboxylic acid,55
4e-bp1,4e-bp1,56
4-methylbenzoic acids,4-methylbenzoic acid,57
4-methylenesteroids,4-methylenesteroid,58
4-nitroquinoline-1-oxide,4-nitroquinoline-1-oxide,59
4-o-methylhonokiol,4-o-methylhonokiol,60
4-quinolone-3-carboxylic acid,4-quinolone-3-carboxylic acid,61
4-trihydroxyisoflavone,4-trihydroxyisoflavone,62
5,5,63
5-2-1-0,5-2-1-0,64
5-arylidene-4-thiazolidinone derivatives,5-arylidene-4-thiazolidinone derivative,65
5-cyclic monophosphate,5-cyclic monophosphate,66
5-diaryl pyrazole,5-diaryl pyrazole,67
5-ht,5-ht,68
5-ht2c,5-ht2c,69
5-ht6 antagonist,5-ht6 antagonist,70
5-htt,5-htt,71
5-httlpr,5-httlpr,72
5-hydroxy indol acetic acid,5-hydroxy indol acetic acid,73
5-hydroxytryptamine,5-hydroxytryptamine,74
5-hydroxytryptophan,5-hydroxytryptophan,75
5-lipoxygenase,5-lipoxygenase,76
5-thiadiazole carbamates,5-thiadiazole carbamate,77
6,6,78
6-dehydrokawain,6-dehydrokawain,79
6-n-propylthiouracil,6-n-propylthiouracil,80
6-sulfatoxymelatonin,6-sulfatoxymelatonin,81
6-trihydroxybenzaldehyde,6-trihydroxybenzaldehyde,82
7,7,83
8-b1,8-b1,84
a body shape index,a body shape index,85
a healthy school start,a healthy school start,86
a/ fold hydrolase,a/ fold hydrolase,87
aa/epa ratio,aa/epa ratio,88
a-amylase,a-amylase,89
a-amylase and a-glucosidase,a-amylase and a-glucosidase,90
a-amylase inhibition,a-amylase inhibition,91
abbreviations bdz benzodiazepine,abbreviations bdz benzodiazepine,92
abc transporters,abc transporter,93
abdomen,abdomen,94
abdomen injury,abdomen injury,95
abdominal,abdominal,96
abdominal adipose tissue,abdominal adipose tissue,97
abdominal adiposity,abdominal adiposity,98
abdominal aortic aneurysm,abdominal aortic aneurysm,99
abdominal circumference,abdominal circumference,100
abdominal circunference,abdominal circumference,100
abdominal fat,abdominal fat,101
abdominal fat distribution,abdominal fat distribution,102
abdominal hernia,abdominal hernia,103
abdominal imaging,abdominal imaging,104
abdominal injury,abdominal injury,105
abdominal obesity,abdominal obesity,106
abdominal pain,abdominal pain,107
abdominal surgery,abdominal surgery,108
abdominal wall,abdominal wall,109
abdominoplasty,abdominoplasty,110
abhd6,abhd6,111
ablation,ablation,112
able-bodied,able-bodied,113
abnormal liver function,abnormal liver function,114
abnormalities,abnormality,115
abo blood group,abo blood group,116
aboriginal,aboriginal,117
aboriginal health,aboriginal health,118
aborigines,aborigines,119
absences,absence,120
absenteeism,absenteeism,121
absolute bioavailability,absolute bioavailability,122
absolute risk,absolute risk,123
absorptiometry,absorptiometry,124
absorption,absorption,125
abstinence,abstinence,126
abuse,abuse,127
academic achievement,academic achievement,128
academic discourse,academic discourse,129
academic performance,academic performance,130
acanthosis nigricans,acanthosis nigrican,131
acarbose,acarbose,132
acaudina molpadioides,acaudina molpadioide,133
acceleration,acceleration,134
accelerometer,accelerometer,135
accelerometers,accelerometer,135
accelerometery,accelerometery,136
accelerometry,accelerometery,136
acceptability,acceptability,137
acceptance,acceptance,138
acceptance and commitment therapy,acceptance and commitment therapy,139
access,access,140
access port,access port,141
access to care,access to care,142
access to health services,access to healthcare,143
access to healthcare,access to healthcare,143
access to information,access to information,144
accessibility,accessibility,145
accidents,accident,146
acclimatization,acclimatization,147
accountability,accountability,148
accreditation,accreditation,149
acculturation,acculturation,150
accumbens,accumben,151
accuracy,accuracy,152
ace i/d polymorphism,ace i/d polymorphism,153
acetabulum,acetabulum,154
acetaminophen,acetaminophen,155
acetate,acetate,156
acetazolamide,acetazolamide,157
acetylation,acetylation,158
acetylcholine,acetylcholine,159
acetyl-coa acyltransferase 2,acetyl-coa acyltransferase 2,160
acetyl-coa carboxylase,acetyl-coa carboxylase,161
acetyl-coenzyme a carboxylase,acetyl-coa carboxylase,161
acc,acetyl-coa carboxylase,161
acetyltransferase,acetyltransferase,162
achalasia,achalasia,163
achilles tendon,achilles tendon,164
acid gelation,acid gelation,165
acne,acne,166
acromegaly,acromegaly,167
acs nsqip,acs nsqip,168
acs-nsqip,acs nsqip,168
acsm-american college of sports medicine,acsm-american college of sports medicine,169
act,act,170
act scanh,act scanh,171
actigraph,actigraphy,172
actigraphy,actigraphy,172
actitrainer accelerometer,actitrainer accelerometer,173
activated partial thromboplastin time,activated partial thromboplastin time,174
ap2,activating protein 2,175
active ageing,active ageing,176
active commuting,active commuting,177
active commuting to school,active commuting to school,178
active leisure,active leisure,179
active lifestyle,active lifestyle,180
active living,active living,181
active parents,active parent,182
active play,active play,183
active transport,active transport,184
active transportation,active transportation,185
active travel,active travel,186
active video games,active video game,187
activin,activin,188
activin a,activin a,189
activin receptor,activin receptor,190
activities of daily living,activities of daily living,191
activity,activity,192
activity break,activity break,193
activity monitor,activity monitor,194
activity monitoring,activity monitoring,195
activity of daily living,activity of daily living,196
activity patterns,activity recognition,197
activity recognition,activity recognition,197
activpal,activpal,198
actor-partner interdependence model,actor-partner interdependence model,199
acupuncture,acupuncture,200
acupuncture therapy,acupuncture therapy,201
acupuncture-moxibustion therapy,acupuncture-moxibustion therapy,202
acute,acute,203
acute appendicitis,acute appendicitis,204
acute cholecystitis,acute cholecystitis,205
acute coronary syndrome,acute coronary syndrome,206
acute coronary syndromes,acute coronary syndrome,206
acute exercise,acute exercise,207
acute feeding,acute feeding,208
acute insulin response,acute insulin response,209
acute ischemic stroke,acute ischemic stroke,210
acute kidney injury,acute kidney injury,211
acute lung injury,acute lung injury,212
acute lymphoblastic leukemia,acute lymphoblastic leukemia,213
acute mountain sickness,acute mountain sickness,214
acute myocardial infarction,acute myocardial infarction,215
acute myocardil infarct scanion,acute myocardil infarct scanion,216
acute oral and dermal toxicity,acute oral and dermal toxicity,217
acute pancreatitis,acute pancreatitis,218
acute phase response,acute phase response,219
acute renal failure,acute renal failure,220
acute respiratory distress syndrome,acute respiratory distress syndrome,221
acute stress,acute stress,222
acute stroke,acute stroke,223
acute treatment,acute treatment,224
acute-phase proteins,acute-phase proteins,225
acyl coadiacylglycerol acyltransferase 1,acyl coadiacylglycerol acyltransferase 1,226
acyl ghrelin,acyl ghrelin,227
acylation,acylation,228
acylcarnitines,acylcarnitines,229
acyl-coa synthetase,acyl-coa synthetase,230
acyl-coenzyme acholesterol acyltransferase 2,acyl-coenzyme acholesterol acyltransferase 2,231
acyl-ghrelin,acyl-ghrelin,232
acyltransferase,acyltransferase,233
ad libitum energy intake,ad libitum energy intake,234
ad libitum intake,ad libitum intake,235
ada - american diabetic association,ada - american diabetic association,236
adamantane,adamantane,237
adamts-13,adamts-13,238
adaptation,adaptation,239
adapted physical activity,adapted physical activity,240
adaptive and innate immunity,adaptive and innate immunity,241
adaptive immunity,adaptive immunity,242
adaptive thermogenesis,adaptive thermogenesis,243
adaptive treatment strategies,adaptive treatment strategy,244
add health,add health,245
added sugars,added sugar,246
addiction,addiction,247
addiction transfer,addiction transfer,248
adenocarcinoma,adenocarcinoma,249
adenoidectomy,adenoidectomy,250
adenosine,adenosine,251
adenosine 5-monophosphate-activated protein kinase,adenosine monophosphate-activated protein kinase,252
adenosine monophosphate-activated protein kinase,adenosine monophosphate-activated protein kinase,252
adenotonsillar hypertrophy,adenotonsillar hypertrophy,253
adenotonsillectomy,adenotonsillectomy,254
adenovirus,adenovirus,255
adeno-associated virus,adenovirus,255
adenovirus 36,adenovirus 36,256
ad-36,adenovirus 36,256
adenylyl cyclase,adenylyl cyclase,257
adherence,adherence,258
adhesion,adhesion,259
adhesions,adhesion,259
adhesion molecules,adhesion molecules,260
adipo/cytokine,adipo/cytokine,261
adipocyte,adipocyte,262
adipocyte differentiation,adipocyte differentiation,263
adipocyte differentiation markers,adipocyte differentiation marker,264
adipocyte fatty acid binding protein,adipocyte fatty acid binding protein,265
adipocyte hormones,adipocyte hormone,266
adipocyte hypertrophy,adipocyte hypertrophy,267
adipocyte progenitors,adipocyte progenitor,268
adipocyte size,adipocyte size,269
adipocyte volume,adipocyte volume,270
adipocytokine,adipocytokine,271
adipogenesis,adipogenesis,272
adipogenesis/lipogenesis,adipogenesis/lipogenesis,273
adipogenic differentiation,adipogenic differentiation,274
adipokine,adipokine,275
adipokines,adipokine,275
adiponect scanin,adiponect scanin,276
adiponect scanin receptors,adiponect scanin receptor,277
adiponectin,adiponectin,278
adiponectin gene,adiponectin gene,279
adiponectin isoforms,adiponectin isoform,280
adipoq,adiponectin precursor,281
adiponectin receptor,adiponectin receptor,282
adiponectin receptors,adiponectin receptor,282
adiponectin receptor 1,adiponectin receptor 1,283
adipor1,adiponectin receptor 1,283
adipor2,adiponectin receptor 2,284
adiponectine,adiponectine,285
adiponectin-obesity,adiponectin-obesity,286
adipose,adipose,287
adipose browning,adipose browning,288
adipose cell size,adipose cell size,289
adipose inflammation,adipose inflammation,290
adipose tissue,adipose tissue,291
adipose tissues,adipose tissue,291
adipose tissue browning,adipose tissue browning,292
adipose tissue depots,adipose tissue depots,293
adipose tissue distribution,adipose tissue distribution,294
