art_id,keyword,art_year,citation,title,author_name,affiliation_1,affiliation_2,country
4628,not defined,2009,6,healthy Eating - Healthy Action Evaluating New Zealand obesity prevention strategy,McLean RM; Hoek JA; Buckley S; Croxson B; Cumming J; Ehau TH; Tanuvasa AF; Johnston M; Mann JI; Schofield G,Department of Medical and Surgical Sciences; Health Services Research Centre School of Government; Native Consultancy Ltd Maketu; School of Sport and Recreation Centre for Physical Activity and Nutrition,Auckland University of Technology; Te Puke; University of Otago; Victoria University of Wellington,New Zealand
4629,11-hydroxysteroid dehydrogenase type 1; adipose tissue; cortisol; morbid obesity,2009,18,11-Hydroxysteroid dehydrogenase type 1 is overexpressed in subcutaneous adipose tissue of morbidly obese patients,Munoz R; Carvajal C; Escalona A; Boza C; Perez G; Ibanez L; Fardella C,Department of Digestive Surgery Faculty of Medicine Pontificia Universidad Católica de Chile; Department of Digestive Surgery Faculty of Medicine Pontificia Universidad Católica de Chile Santiago Chile Medical Sciences PhD Program Faculty of Medicine Pontificia Universidad Católica de Chile; Department of Endocrinology Faculty of Medicine Pontificia Universidad Católica de Chile Lira 85 5o piso,Santiago,Chile
4630,not defined,2009,58,12/15-Lipoxygenase products induce inflammation and impair insulin signaling in 3t3-l1 adipocytes,Chakrabarti SK; Cole BK; Wen Y; Keller SR; Nadler JL,Department of Internal Medicine Eastern Virginia Medical School Norfolk; Department of Medicine University of Virginia Charlottesville,VA,United States
4631,bariatric surgery; gastric bypass,2009,16,3D-MSCT gastric pouch volumetry in bariatric surgery-preliminary clinical results,Karcz WK; Kuesters S; Marjanovic G; Suesslin D; Kotter E; Thomusch O; Hopt UT; Felmerer G; Langer M; Baumann T,Department of Diagnostic Radiology Albert-Ludwigs-University; Department of General and Visceral Surgery Albert-Ludwigs-University Hugstetter Straße 55; Department of Plastic and Hand Surgery Albert-Ludwigs-University,Freiburg; Freiburg 79106,Germany
4632,children; obesity,2009,13,5-2-1-0 Goes to school A pilot project testing the feasibility of schools adopting and delivering healthy messages during the school day,Rogers VW; Motyka E,Kids CO-OP (Clinical Outcomes and Outreach Program) Barbara Bush Children's Hospital Maine Medical Center Portland; Kids CO-OP (Clinical Outcomes and Outreach Program) Barbara Bush Children's Hospital Maine Medical Center Portland ME United States 22 Bramhall St Portland,ME; ME 04102,United States
4633,not defined,2009,10,5-HT1A activation counteracts cardiovascular but not hypophagic effects of sibutramine in rats,Thomas GH; Babbs AJ; Chatfield RE; Krulle TM; Widdowson PS; Provost D; McCormack JG,Cerep S.A. Rueil-Malmaison France Oxford BioMedica Medawar Centre Oxford Science Park Oxford United Kingdom Porsolt and Partners Pharmacology; Prosidion Research Prosidion Limited; Prosidion Research Prosidion Limited Oxford United Kingdom Oxford BioMedica Medawar Centre Oxford Science Park,Boulogne-Billancourt; Oxford,France; United Kingdom
4634,not defined,2009,40,A 30-year follow-up of the effects of child abuse and neglect on obesity in adulthood,Bentley T; Widom CS,Department of Pediatrics University of Medicine and Dentistry of New Jersey Newark NJ United States Psychology Department John Jay College City University of New York New York; Psychology Department John Jay College City University of New York New York,NY,United States
4635,childrenhood obesity; healthy eating; physical act scanivity; prevention,2009,36,A 4-year cluster-randomized controlled childhood obesity prevention study STOPP,Marcus C; Nyberg G; Nordenfelt A; Karpmyr M; Kowalski J; Ekelund U,Department of Clinical Science Intervention and Technology National Childhood Obesity Centre Karolinska Institutet; Department of Clinical Science Intervention and Technology National Childhood Obesity Centre Karolinska Institutet Stockholm Sweden Division of Pediatrics Department of Clinical Science Intervention and Technology Karolinska Institutet; MRC Epidemiology Unit Institute of Metabolic Science Addenbrooke's Hospital,Cambridge; Stockholm; Stockholm SE 141 86,Sweden; United Kingdom
4636,diabetes; insulin; proinsulin,2009,25,A brief perspective on insulin production,Steiner DF; Park S-Y; Stoy J; Philipson LH; Bell GI,Aarhus University Hospital; Department of Biochemistry and Molecular Biology and Medicine The University of Chicago Chicago,IL; Medical Department Aarhus,Denmark; United States
4637,epidemiology; malnutrition; obesity; overweigrowth hormonet,2009,15,A brief report of the epidemiology of obesity in the inflammatory bowel disease population of tayside Scotland,Steed H; Walsh S; Reynolds N,Department of Gastroenterology Ninewells Hospital; Department of Pathology National Health Service Tayside; Gut Group University of Dundee Dundee United Kingdom Department of Gastroenterology Princess Royal Hospital Telford Shropshire,Dundee; TF1 6TF,United Kingdom
