art_id,keyword,key_id,art_year
39588,1,1,2009
45969,1,1,2009
40434,1,1,2009
40434,1,1,2009
37182,1,1,2009
40104,1,1,2009
42199,11-hydroxysteroid dehydrogenase,5,2009
40954,11-hydroxysteroid dehydrogenase,5,2009
45442,11-hydroxysteroid dehydrogenase type 1,7,2009
45527,11-hydroxysteroid dehydrogenase type 1,7,2009
45163,11-hydroxysteroid dehydrogenase type 1,7,2009
37747,17-estradiol,12,2009
42531,fluorodeoxyglucose,3992,2009
38615,2,20,2009
45969,2,20,2009
39721,25d,28,2009
41724,25-hydroxivitamin d3,29,2009
41994,2-arachidonoylglycerol,33,2009
38615,3,36,2009
36988,3,36,2009
45969,3,36,2009
37182,3,36,2009
40641,3t3-l1 adipocyte,48,2009
41992,3t3-l1 adipocyte,48,2009
46351,3t3-l1 adipocyte,48,2009
39602,3t3-l1 cell,49,2009
39601,3t3-l1 cell,49,2009
46080,3t3-l1 preadipocyte,52,2009
46030,3t3-l1 preadipocyte,52,2009
43803,5-ht,68,2009
44051,5-ht,68,2009
36831,5-ht2c,69,2009
40678,5-ht2c,69,2009
43431,5-hydroxytryptophan,75,2009
42747,abdomen,94,2009
39296,abdominal,96,2009
40305,abdominal,96,2009
42984,abdominal,96,2009
37988,abdominal adipose tissue,97,2009
41728,abdominal adipose tissue,97,2009
43882,abdominal adiposity,98,2009
36805,abdominal adiposity,98,2009
42163,abdominal adiposity,98,2009
38152,abdominal adiposity,98,2009
39960,abdominal aortic aneurysm,99,2009
44285,abdominal aortic aneurysm,99,2009
37672,abdominal aortic aneurysm,99,2009
38384,abdominal aortic aneurysm,99,2009
44645,abdominal circumference,100,2009
46201,abdominal circumference,100,2009
42747,abdominal imaging,104,2009
39428,abdominal obesity,106,2009
40129,abdominal obesity,106,2009
45877,abdominal obesity,106,2009
36932,abdominal obesity,106,2009
41709,abdominal obesity,106,2009
40670,abdominal obesity,106,2009
37744,abdominal obesity,106,2009
38259,abdominal obesity,106,2009
43469,abdominal obesity,106,2009
46068,abdominal obesity,106,2009
41471,abdominal obesity,106,2009
41531,abdominal obesity,106,2009
41614,abdominal obesity,106,2009
41611,abdominal obesity,106,2009
45484,abdominal obesity,106,2009
42991,abdominal obesity,106,2009
37031,abdominal obesity,106,2009
37947,abdominal obesity,106,2009
43755,abdominal obesity,106,2009
45535,abdominal obesity,106,2009
45128,abdominal obesity,106,2009
38845,abdominal obesity,106,2009
37760,abdominal obesity,106,2009
44164,abdominal obesity,106,2009
44884,abdominal obesity,106,2009
41335,abdominal obesity,106,2009
46330,abdominal obesity,106,2009
43284,abdominal obesity,106,2009
44326,abdominal obesity,106,2009
44704,abdominal obesity,106,2009
41492,abdominal obesity,106,2009
42125,abdominal obesity,106,2009
45137,abdominal obesity,106,2009
39624,abdominal obesity,106,2009
43881,abdominal wall,109,2009
41447,abdominal wall,109,2009
37562,abdominal wall,109,2009
41447,abdominoplasty,110,2009
43978,abdominoplasty,110,2009
45005,abdominoplasty,110,2009
40746,abdominoplasty,110,2009
44948,abdominoplasty,110,2009
37782,ablation,112,2009
42353,ablation,112,2009
43274,aboriginal,117,2009
41867,aboriginal,117,2009
41040,aboriginal,117,2009
41444,aboriginal,117,2009
42809,aboriginal,117,2009
37523,absenteeism,121,2009
39806,absenteeism,121,2009
39751,absorption,125,2009
39447,absorptiometry,124,2009
39366,absorption,125,2009
43408,absorption,125,2009
39726,absorption,125,2009
41789,abuse,127,2009
37645,academic achievement,128,2009
44640,acanthosis nigrican,131,2009
45880,acanthosis nigrican,131,2009
38288,acanthosis nigrican,131,2009
43756,acarbose,132,2009
44570,acarbose,132,2009
38355,accelerometer,135,2009
41792,accelerometery,136,2009
43106,accelerometery,136,2009
42576,accelerometery,136,2009
45773,accelerometery,136,2009
41791,accelerometery,136,2009
37953,acceptance and commitment therapy,139,2009
38747,acceptance and commitment therapy,139,2009
42169,access,140,2009
45098,access port,141,2009
45686,accessibility,145,2009
38855,acculturation,150,2009
38924,acculturation,150,2009
40627,acculturation,150,2009
37374,acculturation,150,2009
39524,acculturation,150,2009
39672,acculturation,150,2009
37858,acculturation,150,2009
38856,acculturation,150,2009
42655,accuracy,152,2009
45079,ace i/d polymorphism,153,2009
42218,acetate,156,2009
42706,acetate,156,2009
39504,acetylcholine,159,2009
39032,acetylcholine,159,2009
45789,achalasia,163,2009
37932,achilles tendon,164,2009
41653,achilles tendon,164,2009
45301,acne,166,2009
44465,acromegaly,167,2009
45773,actigraphy,172,2009
38835,active living,181,2009
42465,active transportation,185,2009
40525,active transportation,185,2009
39786,active living,181,2009
41273,active travel,186,2009
38164,activities of daily living,191,2009
37170,activities of daily living,191,2009
41011,activity,192,2009
43141,activity,192,2009
42662,activity recognition,197,2009
39736,activity recognition,197,2009
43394,activity recognition,197,2009
45210,acupuncture,200,2009
43796,acupuncture,200,2009
45211,acupuncture,200,2009
39448,acute coronary syndrome,206,2009
42520,acute ischemic stroke,210,2009
40422,acute kidney injury,211,2009
45811,acute lymphoblastic leukemia,213,2009
38332,acute lymphoblastic leukemia,213,2009
38334,acute myocardial infarction,215,2009
39716,acute myocardial infarction,215,2009
42753,acute myocardial infarction,215,2009
42009,acute myocardial infarction,215,2009
42010,acute myocardial infarction,215,2009
43365,acute myocardial infarction,215,2009
38335,acute myocardial infarction,215,2009
44604,acute myocardial infarction,215,2009
39581,acute pancreatitis,218,2009
38485,acute renal failure,220,2009
39347,acute renal failure,220,2009
39253,acute respiratory distress syndrome,221,2009
42769,adaptation,239,2009
41720,adaptive thermogenesis,243,2009
42930,adaptive thermogenesis,243,2009
40128,add health,245,2009
40411,adaptive thermogenesis,243,2009
41701,added sugar,246,2009
37922,addiction,247,2009
37921,addiction,247,2009
39956,addiction,247,2009
36990,addiction,247,2009
40878,adenocarcinoma,249,2009
44865,adenocarcinoma,249,2009
43831,adenocarcinoma,249,2009
46069,adenoidectomy,250,2009
40375,adenosine,251,2009
39032,adenosine,251,2009
38483,adenotonsillar hypertrophy,253,2009
45001,adenotonsillar hypertrophy,253,2009
39644,adenotonsillectomy,254,2009
40265,adenotonsillectomy,254,2009
38956,adenotonsillectomy,254,2009
42925,adenovirus,255,2009
37238,adherence,258,2009
36892,adherence,258,2009
45204,adherence,258,2009
42919,adherence,258,2009
39496,adherence,258,2009
40286,adherence,258,2009
37297,adherence,258,2009
36784,adherence,258,2009
46345,adherence,258,2009
38519,adherence,258,2009
38020,adherence,258,2009
37239,adherence,258,2009
39954,adhesion molecules,260,2009
43588,adhesion molecules,260,2009
42852,adhesion molecules,260,2009
41836,adhesion molecules,260,2009
37122,adhesion,259,2009
42230,adipocyte,262,2009
42167,adipocyte,262,2009
42302,adipocyte,262,2009
43953,adipocyte,262,2009
44082,adipocyte,262,2009
39637,adipocyte,262,2009
39385,adipocyte,262,2009
43086,adipocyte,262,2009
43295,adipocyte,262,2009
42914,adipocyte,262,2009
37822,adipocyte,262,2009
45078,adipocyte,262,2009
44646,adipocyte,262,2009
46406,adipocyte,262,2009
39602,adipocyte,262,2009
41474,adipocyte,262,2009
45189,adipocyte,262,2009
45123,adipocyte,262,2009
43171,adipocyte,262,2009
43595,adipocyte,262,2009
43492,adipocyte,262,2009
41090,adipocyte,262,2009
38852,adipocyte,262,2009
38689,adipocyte,262,2009
42888,adipocyte,262,2009
41794,adipocyte,262,2009
42244,adipocyte,262,2009
44368,adipocyte,262,2009
39601,adipocyte,262,2009
38874,adipocyte,262,2009
40826,adipocyte,262,2009
41155,adipocyte,262,2009
41808,adipocyte,262,2009
44129,adipocyte,262,2009
38545,adipocyte,262,2009
38081,adipocyte,262,2009
44973,adipocyte,262,2009
44930,adipocyte,262,2009
43038,adipocyte,262,2009
43078,adipocyte,262,2009
43456,adipocyte,262,2009
41541,adipocyte,262,2009
41117,adipocyte,262,2009
