art_id,keyword,art_year,citation,title,author_name,affiliation_1,affiliation_2,country
96196,artificial neural network; morphological filter; obstructive sleep apnea; sleep disorder; visual scoring,2016,0,Automatic Diagnosis of Obstructive Sleep Apnea/Hypopnea Events Using Respiratory Signals,aydoan o; ter a; gney k; kymk mk; tuncel d,kahramanmaras sutcu imam university; nuh naci yazgan university,kahramanmaras; kayseri,turkey
96197,breath analysis; butanol; gas chromatographymass spectrometry; obstructive sleep apnoea syndrome,2016,1,Investigation of acetone butanol and carbon dioxide as new breath biomarkers for convenient and noninvasive diagnosis of obstructive sleep apnea syndrome,bayrakli i; bayrakli ztrk; akman h,biomedical engineering  suleyman demirel university; department of chest diseases  suleyman demirel university  school of medicine,isparta,turkey
96198,autonomic nervous system; cheynestokes respiration; chronic heart failure; continuous positive airway pressure; heart rate; polysomnography; sleep apnoea,2016,0,The effect of continuous positive airway pressure on heart rate variability during the night in patients with chronic heart failure and central sleep apnoea,terziyski kv; draganova ai; taralov zz; ilchev is; kostianev ss,cardiology clinic  mhat evrohospital; pathophysiology department  medical university  plovdiv,plovdiv,bulgaria
96199,apnea; hypopnea; nasal pressure signal; realtime detection,2016,0,New Rule-Based Algorithm for Real-Time Detecting Sleep Apnea and Hypopnea Events Using a Nasal Pressure Signal,lee h; park j; kim h; lee k-j,department of biomedical engineering  yonsei university; division of pulmonary and critical care medicine  samsung medical center  sungkyunkwan university school of medicine; interdisciplinary consortium on advanced motion performance  michael e debakey department of surgery  baylor college of medicine  houston,seoul; tx; wonju,south korea; united states
96200,deglutition; deglutition disorders; forcesensory resister; obstructive sleep apnea; swallowing and respiration coordination; total excursion time,2016,0,Non-invasive Assessment of Swallowing and Respiration Coordination for the OSA Patient,wang c-m; li h-y; lee l-a; shieh w-y; lin s-w,department of computer science and information engineering  chang gung university  taoyuan city; department of otorhinolaryngologyhead and neck surgery  linkou chang gung memorial hospital  college of medicine  chang gung university  no  fuhsing street  gueishan district  taoyuan city; department of physical medicine and rehabilitation  linkou chang gung memorial hospital  college of medicine  chang gung university  no  fuhsing street  gueishan district  taoyuan city; department of pulmonary and critical care medicine  linkou chang gung memorial hospital  college of medicine  chang gung university  taoyuan city,taiwan,taiwan
96201,breath disordered disease; respiration; respiratory movement; sleep apnea; tactile sensor sheet; unconstrained measurement,2016,0,Unconstrained measurement of respiration motions of chest and abdomen using a tactile sensor sheet in supine position on bed,guo s; matsuo k; liu j; mukai t,faculty of science and technology  meijo university   shiogamaguchi  tempakuku; school of engineering  kyushu institute of technology    sensuicho  tobataku  kitakyushushi; school of mechanical engineering  hebei university of technology    dingzigu yihaolu  hongqiaoqu,fukuokaken; nagoya; tianjin,china; japan
96202,apneahypoxia index; continuous positive airway pressure; obstructive sleep apnea,2016,0,Comparison of efficacy and tolerance of automatic continuous positive airway pressure devices with the optimum continuous positive airway pressure,tommi g; aronow ws; sheehan jc; mccleay mt; meyers pg,division of cardiology  department of medicine  new york medical college  macy pavilion  room   valhalla; midwest pulmonary and critical care  creighton university  omaha,ne; ny,united states
96203,attitude to health; oral appliance therapy; patient reported measures; sleep apnea syndromes,2016,2,Perceived Effectiveness Self-efficacy and Social Support for Oral Appliance Therapy Among Older Veterans With Obstructive Sleep Apnea,carballo nj; alessi ca; martin jl; mitchell mn; hays rd; col n; patterson es; jouldjian s; josephson k; fung ch,center of excellence in the neurosciences  university of new england  biddeford; department of school of health and rehabilitation sciences  the ohio state university  columbus; department of xxx  university of california  los angeles; veterans affairs greater los angeles healthcare system  los angeles; veterans affairs greater los angeles healthcare system  los angeles  california  united states  david geffen school of medicine  university of california; veterans affairs greater los angeles healthcare system  los angeles  california  united states  department of xxx  university of california  los angeles  california  united states  david geffen school of medicine  university of california,california; los angeles; maine; ohio,united states
96204,blood pressure; photoplethysmogram; pulse transit time; respiratory modulation,2016,0,Slope Transit Time STT A Pulse Transit Time Proxy requiring only a Single Signal Fiducial Point,addison ps,respiratory and monitoring solutions  medtronic  technopole centre,edinburgh,united kingdom
96205,apnea; apneic event; drug safety; ichsa; intermittent hypoxia; respiratory; safety pharmacology; sleep apnea; ventilatory instability,2016,0,Apneic events  A proposed new target for respiratory safety pharmacology,murphy dj,department of safety pharmacology  glaxosmithkline pharmaceuticals,king of prussiapa,united states
