S,D,art_year,art_id
magnetometer,periodic breathing,1980,101167
periodic breathing,transcutaneous p o ,1980,101167
infants,transcutaneous p o ,1980,101167
development,gender,1980,101162
infants,magnetometer,1980,101167
sleep apnea,tracheostomy,1980,101155
respiration,sleep state,1980,101162
apnea,magnetometer,1980,101167
apnea,transcutaneous p o ,1980,101167
development,sleep state,1980,101162
apnea,sleep state,1980,101162
magnetometer,transcutaneous p o ,1980,101167
apnea,respiration,1980,101162
apnea,infants,1980,101167
development,respiration,1980,101162
apnea,periodic breathing,1980,101167
hypersomnia with respiratory disturbance,tracheostomy,1980,101155
gender,respiration,1980,101162
infants,periodic breathing,1980,101167
hypersomnia with respiratory disturbance,sleep apnea,1980,101155
gender,sleep state,1980,101162
apnea,gender,1980,101162
apnea,development,1980,101162
idiopathic alveolar hypoventilation,zuelzerwilson syndrome,1981,101050
idiopathic alveolar hypoventilation,pulmonary hypertension,1981,101050
apnea,slow wave sleep,1981,101055
apneusis,wakefulness,1981,101055
apnea,vagotomy,1981,101055
apneusis,rapid eye movement sleep,1981,101055
hemodynamics,pulmonary wedge pressure,1981,101023
hirschsprung disease,ondine curse,1981,101050
otal colonic aganglionosis,zuelzerwilson syndrome,1981,101050
apnoea,preterm babies,1981,101053
hirschsprung disease,otal colonic aganglionosis,1981,101050
central,obstructive,1981,101053
otal colonic aganglionosis,pulmonary hypertension,1981,101050
hirschsprung disease,zuelzerwilson syndrome,1981,101050
electrophrenic pacing,phrenic nerve,1981,101015
apneusis,pneumotaxic lesion,1981,101055
ondine curse,pulmonary hypertension,1981,101050
phrenic nerve,sleep apnea,1981,101015
hemodynamics,sleepapnea,1981,101023
apneusis,vagotomy,1981,101055
pneumotaxic lesion,vagotomy,1981,101055
bradycardia,obstructive,1981,101053
hirschsprung disease,idiopathic alveolar hypoventilation,1981,101050
bradycardia,preterm babies,1981,101053
apnoea,obstructive,1981,101053
pneumotaxic lesion,slow wave sleep,1981,101055
vagotomy,wakefulness,1981,101055
electrophrenic pacing,sleep apnea,1981,101015
apnea,wakefulness,1981,101055
phrenic nerve,quadriparesis,1981,101015
electrophrenic pacing,quadriparesis,1981,101015
postcordotomy apnea,sleep apnea,1981,101015
postcordotomy apnea,quadriparesis,1981,101015
idiopathic alveolar hypoventilation,otal colonic aganglionosis,1981,101050
rapid eye movement sleep,vagotomy,1981,101055
central,preterm babies,1981,101053
pulmonary wedge pressure,sleepapnea,1981,101023
apnea,apneusis,1981,101055
apnea,pneumotaxic lesion,1981,101055
pneumotaxic lesion,wakefulness,1981,101055
bradycardia,central,1981,101053
idiopathic alveolar hypoventilation,ondine curse,1981,101050
ondine curse,zuelzerwilson syndrome,1981,101050
ondine curse,otal colonic aganglionosis,1981,101050
phrenic nerve,postcordotomy apnea,1981,101015
apnea,rapid eye movement sleep,1981,101055
slow wave sleep,wakefulness,1981,101055
pneumotaxic lesion,rapid eye movement sleep,1981,101055
quadriparesis,sleep apnea,1981,101015
electrophrenic pacing,postcordotomy apnea,1981,101015
rapid eye movement sleep,slow wave sleep,1981,101055
apneusis,slow wave sleep,1981,101055
apnoea,central,1981,101053
obstructive,preterm babies,1981,101053
slow wave sleep,vagotomy,1981,101055
apnoea,bradycardia,1981,101053
